Energy_KeV,Photons_per_s
1,0.0
2,2.079937e-318
3,0.0
4,2.858034729931e-310
5,5.0175936003885194e-182
6,4.042520247871518e-117
7,1.194878182653789e-87
8,3.542680152675172e-58
9,5.2529561144693636e-46
10,4.337555861410521e-33
11,4.725081294264827e-29
12,5.387932397434694e-24
13,7.259766204811016e-19
14,6.150846609993774e-36
15,1.4876545137336549e-29
16,1.4206637241125854e-39
17,1.873914326694679e-35
18,2.454206378833648e-31
19,3.191011989489057e-27
20,4.1167901408103616e-23
21,1.0724410844525624e-21
22,2.7733486918364865e-20
23,7.124652486510233e-19
24,1.8179131959642772e-17
25,4.6088770898988205e-16
26,1.161836132238802e-14
27,2.9121391767010906e-13
28,7.26031073426483e-12
29,1.8010469615575814e-10
30,4.44743839083394e-09
31,1.1270482504320349e-08
32,2.8450124824833477e-08
33,7.155517270886023e-08
34,1.7937773761307192e-07
35,4.482927999710035e-07
36,1.1172658264517074e-06
37,2.777403900039718e-06
38,6.888128349951253e-06
39,1.7047152118846045e-05
40,4.210659534251309e-05
41,6.0103345052084246e-05
42,8.565249992734996e-05
43,0.00012189075443697661
44,0.00017322948698880782
45,0.0002459054998052916
46,0.00034867710951118943
47,0.0004939027074699192
48,0.0006990258454209518
49,0.000988487325256753
50,0.0013968719548100356
51,0.0016359816939588076
52,0.0019149693791551212
53,0.0022402890232043698
54,0.0026196772295233963
55,0.003062019891710425
56,0.00357760610032354
57,0.0041787291289190325
58,0.04119761140146123
59,0.005695441528300004
60,0.0066464633795805155
61,0.007036140678398742
62,0.0074467821179445915
63,0.007880014452333132
64,0.008336834201492963
65,0.008818718260869909
66,0.009327364055426895
67,0.06436772047927335
68,0.010430448198945412
69,0.01606813260306937
70,0.007604148263043424
71,0.008131651320245589
72,0.008695450686089089
73,0.009297577531258138
74,0.009938687407391922
75,0.020119786116430227
76,0.01134392510300875
77,0.012112951800922752
78,0.012929014260979135
79,0.013795242590912226
80,0.014714339161904441
81,0.015110101841889137
82,0.015511521804074318
83,0.01591877769214808
84,0.01633211283062868
85,0.01932925595803467
86,0.017177230869107666
87,0.017609440661368807
88,0.018048158987754106
89,0.0007472084758312365
90,0.000816757275984575
91,0.0008926455282200812
92,0.0009753766935999929
93,0.0010655838605153304
94,0.0011639095747734743
95,0.0012710835150562256
96,0.001387899351148998
97,0.001515191477552395
98,0.0016539297472549584
99,0.0018050674647663032
100,0.001969790357365938
101,0.002022475305652475
102,0.0020763298075262325
103,0.002131343089456435
104,0.002187513835921844
105,0.0022449385022551586
106,0.0023035532989523614
107,0.002363485848057053
108,0.0024246617683944638
109,0.0024872153225253203
110,0.002551077147521071
111,0.0026163244420282527
112,0.002683004164284349
113,0.0027510836603524135
114,0.0028206800430222384
115,0.0028916624173379066
116,0.0029642473148438968
117,0.003038283615662882
118,0.0031139766373851252
119,0.003191214230637535
120,0.00327011706658476
121,0.003350713016911794
122,0.0034329522686906504
123,0.0035169982543675118
124,0.00360269595692854
125,0.0036902879351007646
126,0.0037794718104334386
127,0.0038706092377510143
128,0.003963487951908462
129,0.004058331535647472
130,0.004155058150839686
131,0.004253684408920349
132,0.004354327654401467
133,0.004456791957196623
134,0.004561424518731579
135,0.004667937247477688
136,0.0047766909908114425
137,0.004887325188856709
138,0.005000159429332391
139,0.005114979073157727
140,0.0052318712139394034
141,0.005350883405651456
142,0.005471837672622774
143,0.005595110864664434
144,0.005720289681393223
145,0.005847809154639126
146,0.00597724953799071
147,0.0061089949407034305
148,0.006242724198587495
149,0.006378609500008989
150,0.006516575896875707
151,0.006468941447975455
152,0.006420899314527749
153,0.006372081945657768
154,0.006322901374275356
155,0.006272930948569685
156,0.006222525926570174
157,0.006171361670584349
158,0.006119609337229649
159,0.006067232603540413
160,0.006014137842224238
161,0.005960470954994734
162,0.005905933996141797
163,0.005850767787721164
164,0.005794720441253288
165,0.0057380678476432224
166,0.005680524322390506
167,0.00562223278890371
168,0.005563100859708841
169,0.005503100764150508
170,0.005442271861017117
171,0.005380464599745716
172,0.00531783051186824
173,0.0052542293920657054
174,0.005189778427714638
175,0.005124249888094564
176,0.005057718437773916
177,0.004990101602238246
178,0.0049215054708639
179,0.004851761631585599
180,0.004780933068536249
181,0.004708909716018656
182,0.004635747109032255
183,0.004561341743289904
184,0.004485669689380157
185,0.0044087334814317935
186,0.004330417718778494
187,0.004250866541894533
188,0.0041698131424653916
189,0.004087515723632335
190,0.004003612384038113
191,0.003918367138252286
192,0.003831466240468014
193,0.0037430257553512387
194,0.00365293244228307
195,0.0035610959515738325
196,0.0034676700709534527
197,0.00337227347040014
198,0.003275313943355257
199,0.003176174706440095
200,0.003075389706099522
201,0.0029482637325859845
202,0.002821210662763102
203,0.0026940215703055597
204,0.0025667087510200318
205,0.0024394644033110605
206,0.002311898518573491
207,0.0021845870674456844
208,0.0020569116440541596
209,0.001929692181040834
210,0.0018023142229235472
211,0.0016754420787699817
212,0.0015488328191070732
213,0.001422856776412945
214,0.0012976964111360632
215,0.00117333352394314
216,0.0010503574694805562
217,0.000928714279080855
218,0.000809263367576981
219,0.0006924179973405577
220,0.0005775214895779932
221,0.0004681325658430754
222,0.0003589919530552487
223,0.0002551053630576283
224,0.0001387376663972909
225,1.7389060107118532e-07
