Energy_MeV,Element,Mu_over_rho,Mu_en_over_rho
0.194,6,0.124316,0.0263028
0.195,6,0.12408,0.026344
0.196,6,0.123844,0.0263852
0.197,6,0.123608,0.0264264
0.198,6,0.123372,0.0264676
0.199,6,0.123136,0.0265088
0.2,6,0.1229,0.02655
0.201,6,0.122737,0.0265715
0.202,6,0.122574,0.026593
0.203,6,0.122411,0.0266145
0.204,6,0.122248,0.026636
0.205,6,0.122085,0.0266575
0.206,6,0.121922,0.026679
0.207,6,0.121759,0.0267005
0.208,6,0.121596,0.026722
0.209,6,0.121433,0.0267435
0.21,6,0.12127,0.026765
0.211,6,0.121107,0.0267865
0.212,6,0.120944,0.026808
0.213,6,0.120781,0.0268295
0.214,6,0.120618,0.026851
0.215,6,0.120455,0.0268725
0.216,6,0.120292,0.026894
0.217,6,0.120129,0.0269155
0.218,6,0.119966,0.026937
0.219,6,0.119803,0.0269585
0.22,6,0.11964,0.02698
0.221,6,0.119477,0.0270015
0.222,6,0.119314,0.027023
0.223,6,0.119151,0.0270445
0.224,6,0.118988,0.027066
0.225,6,0.118825,0.0270875
0.226,6,0.118662,0.027109
0.227,6,0.118499,0.0271305
0.228,6,0.118336,0.027152
0.229,6,0.118173,0.0271735
0.23,6,0.11801,0.027195
0.231,6,0.117847,0.0272165
0.232,6,0.117684,0.027238
0.233,6,0.117521,0.0272595
0.234,6,0.117358,0.027281
0.235,6,0.117195,0.0273025
0.236,6,0.117032,0.027324
0.237,6,0.116869,0.0273455
0.238,6,0.116706,0.027367
0.239,6,0.116543,0.0273885
0.24,6,0.11638,0.02741
0.241,6,0.116217,0.0274315
0.242,6,0.116054,0.027453
0.243,6,0.115891,0.0274745
0.244,6,0.115728,0.027496
0.245,6,0.115565,0.0275175
0.246,6,0.115402,0.027539
0.247,6,0.115239,0.0275605
0.248,6,0.115076,0.027582
0.249,6,0.114913,0.0276035
0.25,6,0.11475,0.027625
0.251,6,0.114587,0.0276465
0.252,6,0.114424,0.027668
0.253,6,0.114261,0.0276895
0.254,6,0.114098,0.027711
0.255,6,0.113935,0.0277325
0.256,6,0.113772,0.027754
0.257,6,0.113609,0.0277755
0.258,6,0.113446,0.027797
0.259,6,0.113283,0.0278185
0.26,6,0.11312,0.02784
0.261,6,0.112957,0.0278615
0.262,6,0.112794,0.027883
0.263,6,0.112631,0.0279045
0.264,6,0.112468,0.027926
0.265,6,0.112305,0.0279475
0.266,6,0.112142,0.027969
0.267,6,0.111979,0.0279905
0.268,6,0.111816,0.028012
0.269,6,0.111653,0.0280335
0.27,6,0.11149,0.028055
0.271,6,0.111327,0.0280765
0.272,6,0.111164,0.028098
0.273,6,0.111001,0.0281195
0.274,6,0.110838,0.028141
0.275,6,0.110675,0.0281625
0.276,6,0.110512,0.028184
0.277,6,0.110349,0.0282055
0.278,6,0.110186,0.028227
0.279,6,0.110023,0.0282485
0.28,6,0.10986,0.02827
0.281,6,0.109697,0.0282915
0.282,6,0.109534,0.028313
0.283,6,0.109371,0.0283345
0.284,6,0.109208,0.028356
0.285,6,0.109045,0.0283775
0.286,6,0.108882,0.028399
0.287,6,0.108719,0.0284205
0.288,6,0.108556,0.028442
0.289,6,0.108393,0.0284635
0.29,6,0.10823,0.028485
0.291,6,0.108067,0.0285065
0.292,6,0.107904,0.028528
0.293,6,0.107741,0.0285495
0.294,6,0.107578,0.028571
0.295,6,0.107415,0.0285925
0.296,6,0.107252,0.028614
0.297,6,0.107089,0.0286355
0.298,6,0.106926,0.028657
0.299,6,0.106763,0.0286785
0.3,6,0.1066,0.0287
0.301,6,0.1064886,0.028708
0.302,6,0.1063772,0.028716
0.303,6,0.1062658,0.028724
0.304,6,0.1061544,0.028732
0.305,6,0.106043,0.02874
0.306,6,0.1059316,0.028748
0.307,6,0.1058202,0.028756
0.308,6,0.1057088,0.028764
0.309,6,0.1055974,0.028772
0.31,6,0.105486,0.02878
0.311,6,0.1053746,0.028788
0.312,6,0.1052632,0.028796
0.313,6,0.1051518,0.028804
0.314,6,0.1050404,0.028812
0.315,6,0.104929,0.02882
0.316,6,0.1048176,0.028828
0.317,6,0.1047062,0.028836
0.318,6,0.1045948,0.028844
0.319,6,0.1044834,0.028852
0.32,6,0.104372,0.02886
0.321,6,0.1042606,0.028868
0.322,6,0.1041492,0.028876
0.323,6,0.1040378,0.028884
0.324,6,0.1039264,0.028892
0.325,6,0.103815,0.0289
0.326,6,0.1037036,0.028908
0.327,6,0.1035922,0.028916
0.328,6,0.1034808,0.028924
0.329,6,0.1033694,0.028932
0.33,6,0.103258,0.02894
0.331,6,0.1031466,0.028948
0.332,6,0.1030352,0.028956
0.333,6,0.1029238,0.028964
0.334,6,0.1028124,0.028972
0.335,6,0.102701,0.02898
0.336,6,0.1025896,0.028988
0.337,6,0.1024782,0.028996
0.338,6,0.1023668,0.029004
0.339,6,0.1022554,0.029012
0.34,6,0.102144,0.02902
0.341,6,0.1020326,0.029028
0.342,6,0.1019212,0.029036
0.343,6,0.1018098,0.029044
0.344,6,0.1016984,0.029052
0.345,6,0.101587,0.02906
0.346,6,0.1014756,0.029068
0.347,6,0.1013642,0.029076
0.348,6,0.1012528,0.029084
0.349,6,0.1011414,0.029092
0.35,6,0.10103,0.0291
0.351,6,0.1009186,0.029108
0.352,6,0.1008072,0.029116
0.353,6,0.1006958,0.029124
0.354,6,0.1005844,0.029132
0.355,6,0.100473,0.02914
0.356,6,0.1003616,0.029148
0.357,6,0.1002502,0.029156
0.358,6,0.1001388,0.029164
0.359,6,0.1000274,0.029172
0.36,6,0.099916,0.02918
0.361,6,0.0998046,0.029188
0.362,6,0.0996932,0.029196
0.363,6,0.0995818,0.029204
0.364,6,0.0994704,0.029212
0.365,6,0.099359,0.02922
0.366,6,0.0992476,0.029228
0.367,6,0.0991362,0.029236
0.368,6,0.0990248,0.029244
0.369,6,0.0989134,0.029252
0.37,6,0.098802,0.02926
0.371,6,0.0986906,0.029268
0.372,6,0.0985792,0.029276
0.373,6,0.0984678,0.029284
0.374,6,0.0983564,0.029292
0.375,6,0.098245,0.0293
0.376,6,0.0981336,0.029308
0.377,6,0.0980222,0.029316
0.378,6,0.0979108,0.029324
0.379,6,0.0977994,0.029332
0.38,6,0.097688,0.02934
0.381,6,0.0975766,0.029348
0.382,6,0.0974652,0.029356
0.383,6,0.0973538,0.029364
0.384,6,0.0972424,0.029372
0.385,6,0.097131,0.02938
0.386,6,0.0970196,0.029388
0.387,6,0.0969082,0.029396
0.388,6,0.0967968,0.029404
0.389,6,0.0966854,0.029412
0.39,6,0.096574,0.02942
0.391,6,0.0964626,0.029428
0.392,6,0.0963512,0.029436
0.393,6,0.0962398,0.029444
0.394,6,0.0961284,0.029452
0.395,6,0.096017,0.02946
0.396,6,0.0959056,0.029468
0.397,6,0.0957942,0.029476
0.398,6,0.0956828,0.029484
0.399,6,0.0955714,0.029492
0.4,6,0.09546,0.0295
0.401,6,0.0953769,0.0295019
0.402,6,0.0952938,0.0295038
0.403,6,0.0952107,0.0295057
0.404,6,0.0951276,0.0295076
0.405,6,0.0950445,0.0295095
0.406,6,0.0949614,0.0295114
0.407,6,0.0948783,0.0295133
0.408,6,0.0947952,0.0295152
0.409,6,0.0947121,0.0295171
0.41,6,0.094629,0.029519
0.411,6,0.0945459,0.0295209
0.412,6,0.0944628,0.0295228
0.413,6,0.0943797,0.0295247
0.414,6,0.0942966,0.0295266
0.415,6,0.0942135,0.0295285
0.416,6,0.0941304,0.0295304
0.417,6,0.0940473,0.0295323
0.418,6,0.0939642,0.0295342
0.419,6,0.0938811,0.0295361
0.42,6,0.093798,0.029538
0.421,6,0.0937149,0.0295399
0.422,6,0.0936318,0.0295418
0.423,6,0.0935487,0.0295437
0.424,6,0.0934656,0.0295456
0.425,6,0.0933825,0.0295475
0.426,6,0.0932994,0.0295494
0.427,6,0.0932163,0.0295513
0.428,6,0.0931332,0.0295532
0.429,6,0.0930501,0.0295551
0.43,6,0.092967,0.029557
0.431,6,0.0928839,0.0295589
0.432,6,0.0928008,0.0295608
0.433,6,0.0927177,0.0295627
0.434,6,0.0926346,0.0295646
0.435,6,0.0925515,0.0295665
0.436,6,0.0924684,0.0295684
0.437,6,0.0923853,0.0295703
0.438,6,0.0923022,0.0295722
0.439,6,0.0922191,0.0295741
0.44,6,0.092136,0.029576
0.441,6,0.0920529,0.0295779
0.442,6,0.0919698,0.0295798
0.443,6,0.0918867,0.0295817
0.444,6,0.0918036,0.0295836
0.445,6,0.0917205,0.0295855
0.446,6,0.0916374,0.0295874
0.447,6,0.0915543,0.0295893
0.448,6,0.0914712,0.0295912
0.449,6,0.0913881,0.0295931
0.45,6,0.091305,0.029595
0.451,6,0.0912219,0.0295969
0.452,6,0.0911388,0.0295988
0.453,6,0.0910557,0.0296007
0.454,6,0.0909726,0.0296026
0.455,6,0.0908895,0.0296045
0.456,6,0.0908064,0.0296064
0.457,6,0.0907233,0.0296083
0.458,6,0.0906402,0.0296102
0.459,6,0.0905571,0.0296121
0.46,6,0.090474,0.029614
0.461,6,0.0903909,0.0296159
0.462,6,0.0903078,0.0296178
0.463,6,0.0902247,0.0296197
0.464,6,0.0901416,0.0296216
0.465,6,0.0900585,0.0296235
0.466,6,0.0899754,0.0296254
0.467,6,0.0898923,0.0296273
0.468,6,0.0898092,0.0296292
0.469,6,0.0897261,0.0296311
0.47,6,0.089643,0.029633
0.471,6,0.0895599,0.0296349
0.472,6,0.0894768,0.0296368
0.473,6,0.0893937,0.0296387
0.474,6,0.0893106,0.0296406
0.475,6,0.0892275,0.0296425
0.476,6,0.0891444,0.0296444
0.477,6,0.0890613,0.0296463
0.478,6,0.0889782,0.0296482
0.479,6,0.0888951,0.0296501
0.48,6,0.088812,0.029652
0.481,6,0.0887289,0.0296539
0.482,6,0.0886458,0.0296558
0.483,6,0.0885627,0.0296577
0.484,6,0.0884796,0.0296596
0.485,6,0.0883965,0.0296615
0.486,6,0.0883134,0.0296634
0.487,6,0.0882303,0.0296653
0.488,6,0.0881472,0.0296672
0.489,6,0.0880641,0.0296691
0.49,6,0.087981,0.029671
0.491,6,0.0878979,0.0296729
0.492,6,0.0878148,0.0296748
0.493,6,0.0877317,0.0296767
0.494,6,0.0876486,0.0296786
0.495,6,0.0875655,0.0296805
0.496,6,0.0874824,0.0296824
0.497,6,0.0873993,0.0296843
0.498,6,0.0873162,0.0296862
0.499,6,0.0872331,0.0296881
0.5,6,0.08715,0.02969
