Energy_KeV,Photons_per_s
1,0.0
2,8.056235491565893e-270
3,1.8240644954254925e-281
4,8.387854781999367e-136
5,1.7502775037432235e-76
6,9.934651323519298e-48
7,2.8645042693359247e-35
8,8.284822415342543e-23
9,6.212632815699732e-18
10,2.5944042613456573e-12
11,6.624405576562309e-12
12,1.7705362820197595e-10
13,5.591784021459034e-09
14,2.1498692122301702e-07
15,8.233124942013763e-06
16,2.3678247784568843e-05
17,6.758298432813313e-05
18,0.0001915261499066806
19,0.0005388585714656395
20,4.443272034525407e-11
21,1.9261300161087502e-10
22,8.288665515108946e-10
23,3.543331663417091e-09
24,1.5044897832560033e-08
25,6.347156529703588e-08
26,2.6625449133500484e-07
27,1.1105348001488064e-06
28,4.607265454075835e-06
29,1.9018709529711917e-05
30,7.815089045192036e-05
31,0.0001193459453112295
32,0.0001815475971719401
33,0.00027516204779562826
34,0.00041567816315049377
35,0.0006260248910134612
36,0.0009402157508164308
37,0.0014084817287339656
38,0.00210501200502657
39,0.003139397818068905
40,0.004672892731045291
41,0.005442628455336499
42,0.006328844822915505
43,0.007349021684065265
44,0.008522263195647393
45,0.009871331232668774
46,0.011421030188650075
47,0.01320071968064969
48,0.015244872445299248
49,0.01759041258881343
50,0.02028317224475852
51,0.021521349880841062
52,0.022822577461986564
53,0.02418904344260656
54,0.02562561024068113
55,0.027136024735639547
56,0.028723841977737526
57,0.03039527062730759
58,0.27148486207294753
59,0.034002650135221774
60,0.03594907939208787
61,0.036439885177596845
62,0.03692805737580785
63,0.03741624129177086
64,0.03790352815475649
65,0.03839098627764036
66,0.03888016132572629
67,0.25691093426031025
68,0.03986233720577737
69,0.058799079069946594
70,0.02664409796798944
71,0.027281894355030162
72,0.027934004584447412
73,0.028599355163572527
74,0.02927256592578194
75,0.029949472477494486
76,0.03063273470198108
77,0.03131971036680223
78,0.03200947060099513
79,0.032703011560461445
80,0.033399848507880345
81,0.03346338946934285
82,0.03351627506813153
83,0.03355906543650686
84,0.03359242169891901
85,0.03361632347237388
86,0.03363176779573552
87,0.03363883187512631
88,0.03363775899917589
89,0.03362957039767783
90,0.03361395324866713
91,0.033593299791640226
92,0.033565494968927495
93,0.033531684259425924
94,0.033491455917230996
95,0.033445363663805114
96,0.03339387839120166
97,0.03333676528419372
98,0.03327515208441362
99,0.03320805800213802
100,0.03313729850444045
101,0.03280469012299834
102,0.03247167339154031
103,0.032137886739253906
104,0.031803167646884296
105,0.03146876054188676
106,0.031133580821484895
107,0.030799199862360908
108,0.030464440874601574
109,0.030130826932010992
110,0.029797297571307647
111,0.029464596864307788
112,0.02913304441859381
113,0.02880208588114456
114,0.028472761391834377
115,0.02814355613209361
116,0.027816432899975933
117,0.02748975899357151
118,0.027165242728911212
119,0.026841687708592132
120,0.026519954752397337
121,0.02620006270064988
122,0.02588144274910587
123,0.025565158472772808
124,0.025249894499076657
125,0.024937208034723435
126,0.024624890315083078
127,0.024315216584183095
128,0.02400667290737172
129,0.02370050363835594
130,0.023396062755579965
131,0.023093329707641806
132,0.022792817633391634
133,0.022493388844232423
134,0.022196711696769587
135,0.021901243659295935
136,0.02160859522676885
137,0.021317007752033622
138,0.02102783098634256
139,0.020740064668760164
140,0.020454030973421092
141,0.02016986407325961
142,0.019886864193771444
143,0.019606380126018112
144,0.019326907312689455
145,0.019049919794841996
146,0.01877400663889082
147,0.018500393451676204
148,0.018228081719534946
149,0.017957606600866774
150,0.01768876510644014
151,0.017375595036682456
152,0.01706596043903858
153,0.016758866280892997
154,0.016455386977565694
155,0.016154391657887856
156,0.01585678817580239
157,0.015561731489914542
158,0.01526964801238903
159,0.014980433510133872
160,0.014693847317336329
161,0.014410237208829819
162,0.01412887398409785
163,0.01385033357091744
164,0.013574013257666998
165,0.013300558205776646
166,0.01302929812923587
167,0.012760562829191852
168,0.012494139458184209
169,0.012229967111713397
170,0.01196813461761861
171,0.011708315590765768
172,0.011450845158207755
173,0.011195422524191489
174,0.010942301691398789
175,0.01069100609635563
176,0.010441702955206645
177,0.01019423128937915
178,0.009948817756330754
179,0.009705130237667281
180,0.00946330820499621
181,0.009223146211624447
182,0.008984768147088432
183,0.008747987599461955
184,0.008512776795212824
185,0.008279158752881573
186,0.008046936322948218
187,0.007816397779126277
188,0.007587071642334087
189,0.007359451308205336
190,0.00713290488199123
191,0.006907930238561597
192,0.006683996743341747
193,0.006461337858727338
194,0.006239785841368954
195,0.0060192187725806885
196,0.005799928391730414
197,0.0055813088594718245
198,0.0053640721794348456
199,0.0051472406191054665
200,0.0049317227436616595
201,0.004713403876334876
202,0.004496490384403198
203,0.0042806433868446524
204,0.004065878527833371
205,0.003852495333784884
206,0.00363987299896132
207,0.003428914453447099
208,0.003218642610536048
209,0.003010336086676231
210,0.0028030270283125784
211,0.0025977420355698657
212,0.0023940927633110463
213,0.002192640571288696
214,0.0019936512559858063
215,0.001797079931373101
216,0.0016038098302977068
217,0.0014137339702822314
218,0.0012281326592673777
219,0.001047595379040132
220,0.0008710903515444638
221,0.0007039369082473639
222,0.0005381699249331292
223,0.00038126253129430515
224,0.00020671345759019886
225,2.582975593405848e-07
