Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
82,11.35,501,total_interaction,,,12219
82,11.35,502,MT502,,,454
82,11.35,504,MT504,,,394
82,11.35,515,MT515,,,206
82,11.35,516,MT516,,,425
82,11.35,517,MT517,,,277
82,11.35,522,photoelectric_total,,,11075
82,11.35,534,subshell_MT534_88.01keV,88011.0,,388
82,11.35,535,subshell_MT535_15.87keV,15867.0,,452
82,11.35,536,subshell_MT536_15.21keV,15206.0,,486
82,11.35,537,subshell_MT537_13.04keV,13041.0,,501
82,11.35,538,subshell_MT538_3.86keV,3857.0,,503
82,11.35,539,subshell_MT539_3.56keV,3560.0,,526
82,11.35,540,subshell_MT540_3.07keV,3072.0,,556
82,11.35,541,subshell_MT541_2.59keV,2592.0,,631
82,11.35,542,subshell_MT542_2.49keV,2490.0,,631
82,11.35,543,subshell_MT543_0.90keV,899.0,,537
82,11.35,544,subshell_MT544_0.77keV,769.0,,553
82,11.35,545,subshell_MT545_0.65keV,651.0,,595
82,11.35,546,subshell_MT546_0.44keV,441.0,,686
82,11.35,547,subshell_MT547_0.42keV,419.0,,685
82,11.35,548,subshell_MT548_0.15keV,148.0,,882
82,11.35,549,subshell_MT549_0.14keV,144.0,,874
82,11.35,550,subshell_MT550_0.15keV,153.0,,587
82,11.35,551,MT551,111.0,,652
82,11.35,552,MT552,90.0,,668
82,11.35,553,MT553,27.0,,826
82,11.35,554,MT554,25.0,,828
82,11.35,559,MT559,15.05,,692
82,11.35,560,MT560,7.42,,762
82,11.35,561,MT561,7.42,,771
