E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_69.53keV,subshell_MT535_12.10keV,subshell_MT536_11.55keV,subshell_MT537_10.21keV,subshell_MT538_2.82keV,subshell_MT539_2.58keV,subshell_MT540_2.28keV,subshell_MT541_1.87keV,subshell_MT542_1.81keV,subshell_MT543_0.60keV,subshell_MT544_0.49keV,subshell_MT545_0.43keV,subshell_MT546_0.26keV,subshell_MT547_0.25keV,subshell_MT548_0.04keV,subshell_MT549_0.04keV,subshell_MT550_0.08keV,MT551,MT552,MT553,MT554,MT559
1.0,22691.7927465827,29.027375937179237,0.026807978625764645,0.0,0.0,0.0,22662.738532705574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.4556384372695,851.0244437234022,2432.4005304352054,3420.8389120067836,5087.295799218579,3958.3025688621447,5061.301165723755,192.98309784475103,169.1572652433976,410.8333167948355,98.27335504789122,138.56918294523854,19.303202865810302
2.0,23527.888694180405,34.03544264989951,0.06509097542852077,0.0,0.0,0.0,23493.78823367008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7047.556557254698,10998.35778741086,325.66013208014436,396.0522940451549,893.1446105266739,1026.2738674678712,1458.3006990303759,446.019421844681,563.3087113956714,65.27424648007803,65.3902539906355,136.29319641516278,27.910712034492196,37.869591514343,6.376062962253107
3.0,11740.953856714623,51.175611687326985,0.10102430817510118,0.0,0.0,0.0,11689.67721848962,0.0,0.0,0.0,0.0,524.2314513963091,775.1463652341934,1789.4474706011865,2675.1103007034544,3737.9287954761894,171.32226044434063,212.8006449397575,437.24706751721186,404.7780386565246,562.7849170527256,105.61641015257113,132.51994188810022,32.95683540751828,33.76687615866568,65.13636962306477,11.007291237306044,14.678562340398662,3.1976150400386345
4.0,5903.821656732208,48.833025411987364,0.1355081193388794,0.0,0.0,0.0,5854.85313016999,0.0,0.0,0.0,0.0,349.0945063961789,513.5115835096113,1075.0041888208427,1180.6654428569352,1623.6424661408707,105.03599231280018,129.21948563431087,250.06196251107022,192.98064012477496,264.3118972553352,35.74368943499618,44.59117837569286,19.817153643887885,20.1458666726049,36.944665932487894,5.2839520245348925,6.878128574544718,1.9203212833500463
5.0,3412.0797881006984,42.927595382168114,0.1681546168868674,0.0,0.0,0.0,3368.98404273834,0.0,0.0,0.0,0.0,248.2962500626377,352.31650479771724,693.3760591972192,603.2630213434194,821.4892807213427,70.62037173319938,85.03599210834015,157.90097134571326,104.46829595723261,141.35196663639897,14.936239787423613,18.512048166300872,13.19651428130098,13.164727869318085,23.20544740941802,2.8739215364154203,3.699287864980111,1.2771439218766407
6.0,2166.0913129624278,37.25251020734202,0.19840942391839392,0.0,0.0,0.0,2128.6403941685167,0.0,0.0,0.0,0.0,183.57520031560082,252.06752713154123,473.1271413415683,342.33833990701794,461.5330305751447,50.65867967493301,59.25169579251612,106.49863823912906,61.75343908358101,82.84078716736988,7.174447317414878,8.869464546911727,9.390891655169506,9.136979492205336,15.632579588723285,1.7074708027848724,2.1751326035607486,0.9089515006337839
7.0,1468.4799580888446,32.112793347823185,0.2261976737916987,0.0,0.0,0.0,1436.1409671797396,0.0,0.0,0.0,0.0,140.7824564629255,185.9908882059793,337.0137240858552,208.93701271079894,279.7047318724512,37.96390310990717,43.13211180337777,75.49990019364206,38.977182339211005,51.793884559068125,3.8154024212138573,4.70011878797691,7.010235511238705,6.63621821697973,11.057209250664668,1.0811458842187553,1.3662626799694069,0.6785791362748498
8.0,1046.2018635918098,27.438606881817822,0.25268276808106055,0.0,0.0,0.0,1018.5105743026417,0.0,0.0,0.0,0.0,111.04731217341218,141.01668115401054,248.81245396483519,135.1146578009152,179.48071177501004,29.46568729201117,32.48795956474068,55.535251941946186,25.875727703747007,34.12004179760069,2.1842629046707,2.683129328401589,5.42438288619407,4.98742923047734,8.126082883359183,0.7197486679059135,0.9036457633632445,0.5254072803014039
9.0,773.6108045234216,22.830311190162075,0.27561467164869374,0.0,0.0,0.0,750.5048795610628,0.0,0.0,0.0,0.0,89.45800197912888,109.6529652031726,188.65866834609736,91.40327902160935,120.54529963843069,23.48356358306237,25.124368756589018,42.0917265114899,17.874815645375108,23.406194516833907,1.3263006571103475,1.6220243905709744,4.310335237527731,3.8546267230221596,6.155134871989924,0.49870441179756786,0.6216734530723852,0.4171963799486152
10.0,587.0996713334473,16.385105010021107,0.29792259223971795,0.0,0.0,0.0,570.4166430571752,0.0,0.0,0.0,0.0,73.61115421911424,86.88421876583449,146.50215214382985,64.03053041558152,84.02617227838724,19.13431170786067,19.875620934970755,32.65635985012106,12.759598790400313,16.598084875446325,0.8437137079193012,1.0283826319978568,3.5038291021407146,3.043120456193708,4.781131947220229,0.3569145039816144,0.44206144862104263,0.33928542574850296
11.0,1183.4893821019275,17.747236550647575,0.3172815769271479,0.0,0.0,0.0,1165.4248632163674,0.0,0.0,0.0,721.0117516745325,61.382445870266565,70.1371793816233,116.02962899037841,46.22229219169105,60.26159285367652,15.840532735092639,15.999891040385567,25.85763972660514,9.351301329106144,12.095895108684706,0.5575861065491056,0.6782750685200319,2.897500621442685,2.449099456295462,3.786730180700038,0.2623020785393049,0.3227965331410926,0.2804229159122591
12.0,1297.3284376922136,17.61555262595062,0.3360655942498807,0.0,0.0,0.0,1279.3768199369,0.0,0.0,357.9123813965111,568.0386985450178,51.902801646638814,57.37114695679643,93.34028425262689,34.1940212673599,44.35678901501006,13.333299300236066,13.067721546813717,20.811656554666495,7.0179495764674815,9.029299853898815,0.38066617450676576,0.4628400677884236,2.4352064083145604,2.0020443088264805,3.046206411002574,0.19706217630196177,0.24115589351351577,0.23558862611577205
13.0,1226.2360923090787,19.249788658538176,0.35368167339942985,0.0,0.0,0.0,1206.6326234745375,0.0,173.18114593956332,292.2233654703919,455.23281857834064,44.42394982818024,47.47419177212618,76.07651752244739,25.877273996781348,33.37248596035576,11.343647305104986,10.828046169239602,17.017482557788828,5.364194027138854,6.873881076076341,0.2673859601458924,0.3243067067867255,2.069151992172789,1.656950131748842,2.490945104115741,0.1509308718906121,0.18383990388227078,0.20011176471613612
14.0,1016.527918233142,18.74071692652583,0.3698564933265081,0.0,0.0,0.0,997.4173442010728,0.0,152.35151503988135,240.87547834621896,369.21118274712626,38.34147719741986,39.790536297135176,62.885530327542256,19.910419800514294,25.567310035230207,9.766629732077071,9.074356933210556,14.06366835094307,4.175901642468023,5.318765065259212,0.19202655622581527,0.2325910159978608,1.77937289892276,1.3887858676153395,2.059625905455549,0.11755098489009895,0.14253821592650076,0.1720812732877917
15.0,853.2135425283215,17.83686865751514,0.38539541116973003,0.0,0.0,0.0,834.9912785274889,0.0,134.83021798144296,201.32923263959503,303.26593989490163,33.415466350909455,33.63644629032713,52.4876283995224,15.593687230583805,19.93208483472035,8.477288112057424,7.671430639032953,11.76411830206116,3.296720661269274,4.184576891168794,0.1411105935265309,0.17047088268679858,1.5429471234893668,1.1749054270290737,1.7226745467686364,0.09298928660536405,0.11204307075765735,0.14929971294819963
16.0,723.1880919770667,16.83039474860459,0.4004896318260864,0.0,0.0,0.0,705.9572093428562,0.0,120.3114993971673,169.3107401430442,251.6554626065197,29.34026503271151,28.727750105052856,44.28668192926285,12.37674244060802,15.743427457019944,7.418671892106447,6.553751558433212,9.927277411817476,2.6395301243378153,3.3313659726087264,0.10537372910787657,0.1270138159665917,1.3490912236313517,1.0035915628962346,1.4545390869927384,0.07446250208292811,0.08941059400171855,0.13055991133791242
17.0,618.5344391652877,15.823062597154712,0.41359553227599577,0.0,0.0,0.0,602.29778018145,0.0,107.50969127883805,143.74794004528076,211.03871558656363,25.926736792226563,24.690031215651157,37.638210904478626,9.948969142719328,12.614586823245276,6.548437831697839,5.6344745300969405,8.45939527744723,2.136331349346366,2.6879040613391014,0.08013391610087846,0.09636127128046063,1.1898696880391637,0.8632721628570508,1.2390685744902343,0.060382478428863136,0.07212653802572588,0.11514139802566217
18.0,533.6928179326951,14.843318836260963,0.4265533498936716,0.0,0.0,0.0,518.42294559132,0.0,96.5621338784873,122.90718833516229,178.7866191288736,23.073194693401454,21.39967769612758,32.28813682671626,8.097758535840184,10.206442295860588,5.805020318993978,4.8880174334316395,7.256671683721646,1.7496929491156554,2.18997478972846,0.06180278044776423,0.07402674807013347,1.0541143473230383,0.7486747553752651,1.0634079764235036,0.049435950915618414,0.058876945580732455,0.10207792530126156
19.0,464.05861170458036,13.952287189523158,0.438976840035025,0.0,0.0,0.0,449.6673479723271,0.0,87.11367684183078,105.97094714100712,152.67892572800378,20.62849887601328,18.648969930872532,27.863015030116557,6.640582074234622,8.351811756389495,5.181069755608168,4.265514905432174,6.276569210691162,1.4450940989652465,1.8027932062954921,0.04828587103951788,0.057686314212652544,0.9402788469208353,0.6529918201833705,0.9202719843258221,0.04089060335572817,0.048453003653375605,0.09102038385029919
20.0,406.1437399478853,13.088989358661284,0.4513108045085535,0.0,0.0,0.0,392.6034394943313,0.0,78.82726878751626,91.9675707394859,131.2807692392072,18.534604016580104,16.37028514582087,24.207657334606115,5.506233268935645,6.9022701699057585,4.649388562610418,3.742043458449774,5.457842593599962,1.2044358603167116,1.4960732696992636,0.03819568658198989,0.04549252221447102,0.8433299270479527,0.57371866036791,0.8001961940417012,0.03409909470109629,0.04027456814597049,0.08169063489549566
21.0,357.5743273544155,12.337347902235868,0.4618294932068243,0.0,0.0,0.0,344.7751506952357,0.0,71.55850538970114,80.39967585261903,113.45125357228545,16.740315261720678,14.426243881088356,21.147331897872235,4.607494746459284,5.741300280664467,4.192060966471063,3.3051521296303985,4.772668688158548,1.0116392291460548,1.2520621439491502,0.03054860789086954,0.03624534536168346,0.7600653543780136,0.5059858888352151,0.700600539754493,0.028653683168593343,0.033729914356774866,0.07361677691540527
22.0,316.7596025446023,11.604544943106115,0.4723481819050951,0.0,0.0,0.0,304.6827092498683,0.0,65.2736563106596,70.75875068260633,98.65662394809574,15.179817231192594,12.777017262919832,18.578297158449796,3.87628830430169,4.819807347236526,3.7948318783109256,2.9298937805576037,4.200395749166203,0.8557225857595215,1.0565326727329205,0.024649447852091912,0.02917579721780705,0.6872892418105323,0.4486924556539127,0.6159740005549619,0.02426391355669193,0.028459141579443573,0.06656999959373178
23.0,282.0786601354942,10.964005866464479,0.48249242844464896,0.0,0.0,0.0,270.63216264675344,0.0,59.764448620940904,62.38125681051142,86.39484419550621,13.810895089288687,11.384801546398121,16.41982528911083,3.2880619692266113,4.077680865581107,3.446983164256105,2.608821525024857,3.711581155445069,0.7291124628097523,0.8959067779473676,0.020070602514861917,0.023706615118313606,0.624462056739556,0.3999811771833208,0.5443938969123041,0.02068525150235365,0.024172088662528842,0.06047110672615774
24.0,252.31815163670333,10.334955931100687,0.49239979967399694,0.0,0.0,0.0,241.49079525140496,0.0,54.931991488377946,55.26498645778869,75.99074025183255,12.601160690697604,10.169883783240968,14.552521742760574,2.808651064997013,3.4656319688355133,3.1457505270687514,2.33616808008445,3.2929276238111553,0.624937432452813,0.76505546638562,0.01649001157678228,0.019410184662298217,0.5696627779762499,0.3578678690082789,0.48338578636455937,0.017738804376416433,0.020669669527861007,0.05516355506677964
25.0,226.71457583612155,9.794311920089914,0.5023071709033449,0.0,0.0,0.0,216.41795656490052,0.0,50.50103747293798,49.188544972839956,67.22282103272063,11.549560786025951,9.124378747462144,12.955289820856988,2.4114078186440846,2.9673382994441995,2.8784912117798056,2.0967053547702896,2.9390571109681156,0.5382388571000744,0.658050489993481,0.01364128873441889,0.01602311655931647,0.5213750936824135,0.3213828612560055,0.4310629647500455,0.015298404522400569,0.01775185449138418,0.05049975081249651
26.0,204.491833370247,9.253667909079141,0.5100330617937658,0.0,0.0,0.0,194.7281323170156,0.0,46.600189983853944,43.99899164954368,59.61165977637581,10.617336750201542,8.220508048914002,11.594032922648024,2.0803136903598567,2.5554984885317453,2.643125459761137,1.8901386404314888,2.628691170220505,0.46647768316077703,0.5678890327103598,0.011367664901184996,0.013312851512069913,0.4780907894921725,0.2898688837215592,0.38570815035842343,0.01326866837251081,0.015338268102457213,0.04632378854485788
27.0,185.17560459720914,8.783286896682942,0.5174642918892579,0.0,0.0,0.0,175.8748533589523,0.0,43.09286492136239,39.5161845158006,53.098635665945224,9.779199073069295,7.43226914085421,10.399048045889147,1.8061865112410376,2.2104389801616002,2.4313459351179127,1.710268855457081,2.361328264195312,0.4066954499838917,0.4930915700363649,0.00952586161839952,0.011146963036175012,0.4402685032313157,0.2622874189245679,0.34654124952951465,0.011545364663985931,0.013336318694538055,0.04264476477686463
28.0,168.28613644929655,8.32353108284787,0.5248955219847501,0.0,0.0,0.0,159.43770975907842,0.0,39.92570319109139,35.64392998582416,47.49318230496961,9.03216467833204,6.734041331880321,9.36353588474063,1.575050463102457,1.9216949003408486,2.245885865603413,1.5522206930305555,2.129304992280028,0.3554919712882981,0.4300556540852473,0.008042053873972608,0.009393432735663334,0.40611590924277424,0.23813988297527433,0.31268437937630744,0.010108814564408335,0.011629246119295493,0.03933421973379322
29.0,153.44077812132704,7.897191968044746,0.5319117950566385,0.0,0.0,0.0,145.01167432925527,0.0,37.08974608243758,32.208246016352184,42.65019095790562,8.36773666551046,6.124689188869887,8.461977117489392,1.3802188292519455,1.677809767303488,2.0790256428269607,1.4116031458650606,1.9258133426533472,0.31204302789792066,0.3769096955780445,0.006829728057836381,0.00795002986374333,0.3760580469395297,0.21677992478904054,0.28257449653753813,0.0088798346822712,0.010190753218134521,0.03640203293357525
30.0,140.34787115557535,7.515475029516707,0.5388344962719247,0.0,0.0,0.0,132.29356167509152,0.0,34.54363292623494,29.157954869926385,38.450224763408286,7.767783160325263,5.585925378089925,7.667692491806533,1.2132615001473275,1.4727756682530004,1.9273453654661608,1.2877805374252675,1.7462270628148997,0.2753284899296625,0.3312034874111957,0.005826751908452936,0.006766473546501354,0.3488320738755561,0.19807672038326957,0.25634203571240594,0.007840337976901595,0.008963147147439468,0.03377841700512177
31.0,128.74455578072445,7.1337580909886675,0.545757197487211,0.0,0.0,0.0,121.06504053772677,0.0,32.23922297332423,26.5093035357896,34.75908993381921,7.222669050249399,5.110480633916796,6.964942295830832,1.0717225524885161,1.2965053897434025,1.7922233833897816,1.17964659599449,1.5874395313626428,0.24386234199721207,0.2922555032632136,0.004992780731283324,0.005790452998638642,0.32425003988192375,0.18139207885219397,0.23299721328952486,0.00694257504437464,0.007923358102228377,0.03138828751690552
32.0,118.38327704543968,6.801886628629857,0.5518949909712486,0.0,0.0,0.0,111.02949549980826,0.0,30.093146681482907,24.18724058667927,31.48922155341852,6.730288137691638,4.680546382940372,6.346546672137003,0.9494067929885803,1.1453641338765694,1.66846036111724,1.082596660497468,1.4481449676158489,0.2168086056098284,0.25905110650475915,0.0043025315080056,0.004980291823672614,0.30203564902439267,0.1663563949053005,0.21258394808389952,0.006165988253742587,0.0070190289895219965,0.029229009414255706
33.0,109.10547084130911,6.487600428551283,0.5567357088145227,0.0,0.0,0.0,102.06113474961295,0.0,28.15446870661857,22.097919575831234,28.586967831667522,6.285180247495721,4.302514782524689,5.797762492454059,0.8449390506404334,1.0154157573201406,1.5576035209091805,0.9943438248057314,1.3241119281775606,0.19311205195274528,0.2304004669585004,0.0037215042100950694,0.004302707882014282,0.2818935707957356,0.1529857357187553,0.19448192699441047,0.005499358369093731,0.0062380203707538785,0.02727173219208262
34.0,100.83239072988836,6.173314228472709,0.5615764266577968,0.0,0.0,0.0,94.09750013297162,0.0,26.38634007360247,20.269107622498826,26.040937281962808,5.882371331168927,3.9597266283619468,5.311741883068948,0.7538648171501938,0.9037957434722531,1.4571275053473667,0.9158459737232395,1.2127225897681928,0.17264755312243985,0.205629541367688,0.0032333791587097088,0.003736490712113048,0.2636160259336905,0.14098650064606652,0.17808238417618957,0.004921841415017867,0.005568788448353808,0.025496149532366483
35.0,93.4524479071284,5.90872504468705,0.566417144501071,0.0,0.0,0.0,86.97730575788471,0.0,24.788328006850886,18.621470093179035,23.80138950849147,5.513730336891194,3.656032213243037,4.870702982720654,0.6744834710753,0.8077622646545233,1.3648743106274577,0.8458592134830196,1.1136306769604198,0.15486832469438283,0.18385991761206463,0.002820443846172356,0.0032536190891781732,0.2470098964601813,0.13031955043099747,0.16362737803481092,0.00441817791241197,0.004981909764238237,0.023883395533134455
36.0,86.77754569275605,5.650815106137562,0.5710609051734523,0.0,0.0,0.0,80.55566971606694,0.0,23.318104639785165,17.144756809504955,21.801146146457747,5.173213571912948,3.3816725845448365,4.477641736061528,0.6054973976893624,0.7233034401915357,1.2796247591019123,0.7825544039379202,1.0246790008303897,0.13937252258827837,0.16491346048328628,0.0024715616822142982,0.0028426857373060393,0.2319249775127328,0.12056031929921786,0.1505217547339646,0.003975337584451719,0.004473853303828219,0.02241870004358437
