E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_0.54keV,subshell_MT535_0.03keV,subshell_MT536_0.01keV,subshell_MT537_0.01keV
1.0,18353.914705647247,6.71464413918435,0.03411707379282828,0.0,0.0,0.0,18347.16596244724,17386.043478020078,800.9658891139941,53.72739076508939,106.42917380917577
2.0,2778.2533545121446,5.603134225683662,0.11415439419919705,0.0,0.0,0.0,2772.536065106465,2629.238455246105,129.86898948485882,4.512519264862096,8.916098494502394
3.0,867.8665220145523,4.318953249550838,0.20366051371876154,0.0,0.0,0.0,863.3439076021419,818.4450930192352,41.989799457711456,0.9786069421813807,1.9304082691782183
4.0,372.53236026002867,3.3206246037160074,0.28489448427371344,0.0,0.0,0.0,368.9268407300407,349.63055784822023,18.3425386805765,0.3210394746932175,0.6327052361482265
5.0,191.49441701404479,2.59036825186063,0.3509233195850856,0.0,0.0,0.0,188.55312615566754,178.65633960889517,9.501756484211299,0.13310585293539445,0.26192410693657653
6.0,110.77080907620591,2.073157830913465,0.4008819340358245,0.0,0.0,0.0,108.29676929682954,102.5988847731003,5.506906378804735,0.06443131546172248,0.12654677608037276
7.0,69.60936926880552,1.6982836339718916,0.44031753607125734,0.0,0.0,0.0,67.47076810354962,63.9160058049699,3.451657047595067,0.03483773556178106,0.06826755199073231
8.0,46.50383656671882,1.4194537397944804,0.4733545817078582,0.0,0.0,0.0,44.611028177658575,42.253171391976196,2.297592670793188,0.020389537157989607,0.03987464502801208
9.0,32.6457223970324,1.2131800560789703,0.4969053810201854,0.0,0.0,0.0,30.935636987562756,29.300191458094154,1.5979514652038733,0.01270149548767228,0.02479253432300841
10.0,23.81726666463827,1.0498330932219218,0.5190426057520698,0.0,0.0,0.0,22.248390950285767,21.06999503271911,1.1539279759584695,0.008301483294713098,0.016166442530261203
11.0,17.942294491926607,0.9235457383954022,0.5347147343597761,0.0,0.0,0.0,16.48403401901865,15.610514371450702,0.8569057884961531,0.005643743927881427,0.01097015408516832
12.0,13.888954261682413,0.8210209323653358,0.5494590450900688,0.0,0.0,0.0,12.518474279015921,11.853457748046273,0.6533493231299324,0.003965221204140775,0.0077019913979895745
13.0,11.01611677184901,0.7362447087065945,0.5623088109475659,0.0,0.0,0.0,9.717563247587389,9.201001588753487,0.5081538238870408,0.0028629299975925417,0.005544909666775871
14.0,8.916255879141572,0.6651281512360951,0.572818708017386,0.0,0.0,0.0,7.678309027673136,7.2701824719904256,0.40192444187200876,0.0021129528009025166,0.004089160026358089
15.0,7.350499224713317,0.6045855543348055,0.5825658191176823,0.0,0.0,0.0,6.163347846754223,5.8352563785678235,0.32341789332238435,0.001592966733584788,0.0030806127988646124
16.0,6.159965561375873,0.552297086833028,0.5917863514434064,0.0,0.0,0.0,5.015882124375843,4.748881551096902,0.26341384499336307,0.0012235695853078446,0.0023631598423597094
17.0,5.239250522422857,0.5064881879106551,0.5986603436457326,0.0,0.0,0.0,4.134101989316928,3.9141239492290043,0.21718506313248478,0.0009542247662167573,0.00183875134115822
18.0,4.5090421560022005,0.4672628570806739,0.6054020279110552,0.0,0.0,0.0,3.4363772784518347,3.2531763551602126,0.1809951409101707,0.0007542035319169229,0.0014515721551534477
19.0,3.931713739389395,0.4321378184688062,0.6116663052750494,0.0,0.0,0.0,2.8879096217986513,2.733846209677281,0.15229812660686773,0.0006040449488278231,0.0011612359516841937
20.0,3.46493716607578,0.40028435597156875,0.6178179172523093,0.0,0.0,0.0,2.4468348972572525,2.3161634398234954,0.12924275883385927,0.0004888771202987638,0.0009398194220851676
21.0,3.084885747923093,0.372549196756154,0.6216850587283421,0.0,0.0,0.0,2.090651494753801,1.9790223283202484,0.11046154829190599,0.00039993867895351246,0.0007676771572605642
22.0,2.77365974158269,0.3474430776029714,0.6255522002043749,0.0,0.0,0.0,1.8006644578652022,1.704588765271441,0.09511248526335098,0.0003301848014520298,0.0006330231380861499
23.0,2.51191694740674,0.323960480945668,0.6294193416804077,0.0,0.0,0.0,1.5585371157297134,1.4753158280068674,0.08242003844044649,0.00027504554362881706,0.0005262085982322344
24.0,2.294024024413304,0.30376331949604407,0.6332864831564404,0.0,0.0,0.0,1.3569742164011656,1.2844297528867756,0.07187229592445317,0.00023096393205325117,0.0004412033386810893
