E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_9.66keV,subshell_MT535_1.20keV,subshell_MT536_1.05keV,subshell_MT537_1.02keV,subshell_MT538_0.14keV,subshell_MT539_0.09keV,subshell_MT540_0.09keV,subshell_MT541_0.01keV,subshell_MT542_0.01keV,subshell_MT543_0.01keV
1.0,7354.73645929368,3.489689554075711,0.03129621281205489,0.0,0.0,0.0,7351.215462266803,0.0,0.0,0.0,0.0,1264.6144984830846,1406.6282511968254,2737.414068216686,757.9044135429706,1108.0595255808373,76.59472220034108
2.0,11280.306609779744,23.330803328814888,0.08092678283312123,0.0,0.0,0.0,11256.894874158363,0.0,2119.5513486648156,2674.5632831397234,5113.437724238922,353.5769931998371,278.1227331790899,530.0736396782379,67.95820168635814,98.79387613099674,20.817093883614717
3.0,3948.1613894925786,20.15155148757424,0.1256018208559178,0.0,0.0,0.0,3927.884235927099,0.0,1003.0708554796831,847.5724251744042,1601.3227809695272,156.18997197289403,95.03315043444651,179.013493453086,14.942568518613603,21.59661710061138,9.142373535871707
4.0,1836.2490442690694,16.88723908106785,0.16802834574012063,0.0,0.0,0.0,1819.193775384566,0.0,562.9241234385752,359.53410974718673,673.441976862189,85.1197261327658,42.255873882893894,79.0463137970842,4.878768955387535,7.028768574282476,4.964113741592635
5.0,1005.0176855546581,14.081725292879671,0.20788131035607382,0.0,0.0,0.0,990.7280789167839,0.0,350.5426917353959,180.86851645069075,336.38761475821616,52.24150371492414,21.978272204374836,40.79858764356541,1.9965788873678159,2.8655718201241296,3.048742179034096
6.0,611.7563182752175,11.712818326346891,0.24416605874857875,0.0,0.0,0.0,599.7993330559995,0.0,234.5248069897563,101.87129764069074,188.3076750168223,34.711525736853616,12.667813544735841,23.39731050919103,0.9458272283145388,1.3536217198472726,2.0194540016812956
7.0,400.96010437025325,9.72597346785592,0.27785755183139565,0.0,0.0,0.0,390.9562732974427,0.0,165.25260489783506,62.123772519537376,114.29378276025858,24.343253103409445,7.871354068656,14.446757996267191,0.49775039488415546,0.7107078287800433,1.4162898303191944
8.0,277.45682265176004,7.976344628615832,0.3095408459481935,0.0,0.0,0.0,269.17093722571445,0.0,121.15923266691446,40.21109501097447,73.67210823816647,17.7944065406359,5.167068023716803,9.445785467418292,0.2835062953758368,0.4024278356952981,1.0353070365133954
9.0,199.78591518469528,6.127576408188772,0.33732828743556104,0.0,0.0,0.0,193.32101037017193,0.0,91.61851440731148,27.300173595492698,49.765783612032465,13.437848879341805,3.5467683512999963,6.456487181741182,0.17173426825735866,0.24276132238196035,0.7809388605079268
10.0,1109.8940926175858,5.482446775352163,0.36433783145898263,0.0,0.0,0.0,1104.0473083077986,960.4099793549296,71.08644521755258,19.226874361996416,34.942828907301376,10.417401864494495,2.521197228632998,4.573713648680349,0.10928860514453695,0.15402664325671803,0.6055504964292041
11.0,871.4020843945178,5.907937587229169,0.3868195720756256,0.0,0.0,0.0,865.1073282932938,755.4544363895346,56.335668348698114,13.960403714729434,25.277172585885996,8.248468747016556,1.8463374797820589,3.3309077728027052,0.07249193056403144,0.10195782426556764,0.47948318880748053
