Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
29,8.96,501,total_interaction,,,7314
29,8.96,502,MT502,,,369
29,8.96,504,MT504,,,394
29,8.96,515,MT515,,,209
29,8.96,516,MT516,,,445
29,8.96,517,MT517,,,293
29,8.96,522,photoelectric_total,,,6211
29,8.96,534,subshell_MT534_8.99keV,8986.0,,514
29,8.96,535,subshell_MT535_1.10keV,1103.0,,590
29,8.96,536,subshell_MT536_0.96keV,958.0,,690
29,8.96,537,subshell_MT537_0.94keV,938.0,,696
29,8.96,538,subshell_MT538_0.13keV,127.0,,649
29,8.96,539,subshell_MT539_0.08keV,82.0,,746
29,8.96,540,subshell_MT540_0.08keV,80.0,,746
29,8.96,541,subshell_MT541_0.01keV,11.0,,878
29,8.96,542,subshell_MT542_0.01keV,10.4,,872
29,8.96,543,subshell_MT543_0.01keV,7.73,,873
