Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
74,19.3,501,total_interaction,,,11734
74,19.3,502,MT502,,,381
74,19.3,504,MT504,,,389
74,19.3,515,MT515,,,206
74,19.3,516,MT516,,,428
74,19.3,517,MT517,,,280
74,19.3,522,photoelectric_total,,,10644
74,19.3,534,subshell_MT534_69.53keV,69529.0,,401
74,19.3,535,subshell_MT535_12.10keV,12103.0,,465
74,19.3,536,subshell_MT536_11.55keV,11546.0,,504
74,19.3,537,subshell_MT537_10.21keV,10209.0,,521
74,19.3,538,subshell_MT538_2.82keV,2823.0,,512
74,19.3,539,subshell_MT539_2.58keV,2577.0,,543
74,19.3,540,subshell_MT540_2.28keV,2283.0,,571
74,19.3,541,subshell_MT541_1.87keV,1874.0,,656
74,19.3,542,subshell_MT542_1.81keV,1811.0,,660
74,19.3,543,subshell_MT543_0.60keV,599.0,,555
74,19.3,544,subshell_MT544_0.49keV,495.0,,579
74,19.3,545,subshell_MT545_0.43keV,428.0,,607
74,19.3,546,subshell_MT546_0.26keV,261.0,,707
74,19.3,547,subshell_MT547_0.25keV,248.0,,715
74,19.3,548,subshell_MT548_0.04keV,38.0,,885
74,19.3,549,subshell_MT549_0.04keV,36.0,,875
74,19.3,550,subshell_MT550_0.08keV,80.0,,615
74,19.3,551,MT551,51.0,,683
74,19.3,552,MT552,41.0,,701
74,19.3,553,MT553,8.67,,833
74,19.3,554,MT554,8.67,,829
74,19.3,559,MT559,8.67,,719
