E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_0.29keV,subshell_MT535_0.02keV,subshell_MT536_0.01keV,subshell_MT537_0.01keV
1.0,8854.450621250155,5.133351922730917,0.05068279506179018,0.0,0.0,0.0,8849.266583406114,8442.5818801154,387.68855779723333,6.359630353461309,12.636516438866257
2.0,1211.9949572875216,3.672576110616466,0.15509919343727196,0.0,0.0,0.0,1208.167282444364,1150.541697104964,56.27043989731372,0.45400639577148477,0.9011390955324171
3.0,362.02809561984475,2.626903711436302,0.2566515415089831,0.0,0.0,0.0,359.1445399565562,341.77341226007263,17.09730448944073,0.09193867433083347,0.18188435793702507
4.0,151.51349137139428,1.9442869200107606,0.33919171360145817,0.0,0.0,0.0,149.23001282768453,141.96283650912665,7.180488623276446,0.029151928997620112,0.05753574019215929
5.0,76.65869821467015,1.5039763896369205,0.39953062356727387,0.0,0.0,0.0,74.75519105867018,71.093672315861,3.62619383017572,0.011891069591585108,0.02343391861126862
6.0,43.887249315594225,1.2132496335235885,0.44202802318656664,0.0,0.0,0.0,42.23197173223808,40.15382643959188,2.0612637497839614,0.005687453126754504,0.011194053164713474
7.0,27.44093633050699,1.0110849495842038,0.4751682360978909,0.0,0.0,0.0,25.954683029231955,24.672910184767822,1.2727763526083922,0.0030352139816470546,0.00596130166434027
8.0,18.360000294815492,0.8642556551299188,0.5026774193285312,0.0,0.0,0.0,16.993067225154235,16.152100086917184,0.8357719344273226,0.001753964785381519,0.003441236009736326
9.0,12.932354738446303,0.7516250732305314,0.5236024101344592,0.0,0.0,0.0,11.657127243244686,11.07860906779168,0.5753235231251077,0.001079549730481494,0.0021151091662105406
10.0,9.525715198442073,0.6644326679769362,0.5431347140179632,0.0,0.0,0.0,8.318147807360509,7.90482024057952,0.411265443904447,0.0006977570466127115,0.001364373036076244
11.0,7.265146710476916,0.5926288006926173,0.5570230193429836,0.0,0.0,0.0,6.115494889513166,5.811071760960234,0.3030356967543913,0.00046956417435126585,0.0009178667760806577
12.0,5.718336456627061,0.5324382330664151,0.5700346516722558,0.0,0.0,0.0,4.615863574978362,4.385689391653543,0.229208434410761,0.00032727882346136514,0.0006384624027799094
13.0,4.627901903438955,0.4810761693508211,0.5824344356040383,0.0,0.0,0.0,3.5643912845154926,3.3867610339416716,0.17693942587986752,0.00023438318058129103,0.00045644632079040753
14.0,3.8300637842785545,0.43677033168530294,0.594311888657967,0.0,0.0,0.0,2.7989815751865668,2.659220353325439,0.1392548618478882,0.00017185184614777377,0.0003345039012921951
15.0,3.2387172174501293,0.3982791746420757,0.6053519088259456,0.0,0.0,0.0,2.23508614148571,2.1233542043493645,0.11135249750811094,0.0001288742335734766,0.00025056182726602153
16.0,2.7912999089868946,0.3644044262640827,0.6155885502158333,0.0,0.0,0.0,1.811306933774642,1.7207322228849087,0.09028522004411195,9.840816247428062e-05,0.00019108217486539782
17.0,2.4425417112698637,0.33434137237937217,0.6219824409063146,0.0,0.0,0.0,1.486217900363024,1.411874492429417,0.0741190326757135,7.636839611819267e-05,0.0001480075856914974
18.0,2.1676321664452938,0.3073291822841838,0.628376331596796,0.0,0.0,0.0,1.2319266543934713,1.170271218025946,0.06147892646851218,6.0085764756274446e-05,0.0001164235015345118
19.0,1.9495041934199435,0.28354794743105916,0.6347702222872773,0.0,0.0,0.0,1.031186023766644,0.9795148528623843,0.051530611045879283,4.7890401608726625e-05,9.266989636489014e-05
20.0,1.7754068819393178,0.2626848201938158,0.641018064922815,0.0,0.0,0.0,0.8717039963123098,0.8279710763335648,0.04361962575699877,3.864128815438863e-05,7.465301731736399e-05
21.0,1.63005810378727,0.24345097110965047,0.644304550188963,0.0,0.0,0.0,0.7423025812491179,0.7050760118717412,0.03713430151598168,3.149392119246887e-05,6.077443072045451e-05
22.0,1.5108187411755323,0.22625107344196368,0.6475910354551111,0.0,0.0,0.0,0.6369766324292978,0.605040797837032,0.031859969042892955,2.5906588920493337e-05,4.995876440769623e-05
23.0,1.4125907206805184,0.21102159190318606,0.6508775207212592,0.0,0.0,0.0,0.5506916073819915,0.523085776797227,0.02754290367362429,2.151100159792556e-05,4.1416334720246635e-05
24.0,1.3290958959575956,0.1965664689522819,0.6541640059874072,0.0,0.0,0.0,0.47836542075311256,0.45437396336249675,0.023938828665487976,1.799291128747398e-05,3.463592602350377e-05
25.0,1.2595081012815776,0.18436082991117375,0.6574504912535553,0.0,0.0,0.0,0.4176967803513402,0.3967271058034897,0.020925348288386412,1.516462137907431e-05,2.916157282489065e-05
26.0,1.1982803474305512,0.17251890612627888,0.658785979204984,0.0,0.0,0.0,0.36697546191373287,0.34854051257729085,0.018397361091676164,1.2873818656434569e-05,2.4715044840234756e-05
27.0,1.146170435077348,0.16232182988935412,0.6598579385747424,0.0,0.0,0.0,0.3239906662375804,0.3077151955958557,0.016243404703553375,1.0987416551615267e-05,2.1078019152141933e-05
28.0,1.100629431349933,0.15257320772866687,0.6609298979445007,0.0,0.0,0.0,0.28712632673416766,0.27268292283139234,0.014415890637369463,9.432101062546826e-06,1.8080856701684538e-05
29.0,1.0616088282999183,0.14402552856797388,0.6620018573142591,0.0,0.0,0.0,0.25558144291883883,0.2427246181581707,0.012833084597346767,8.140972645106089e-06,1.5598666718692525e-05
30.0,1.027419166488429,0.13574346792379158,0.6630738166840174,0.0,0.0,0.0,0.22860188326015832,0.2171149912383892,0.011466304436864744,7.064904254494378e-06,1.3521976873289782e-05
31.0,0.9978282386731976,0.1286298506302979,0.6641457760537759,0.0,0.0,0.0,0.20505261279601306,0.19474986963382862,0.010284805526760149,6.155269984304501e-06,1.1782411417106158e-05
32.0,0.9708992099402589,0.12151623333680418,0.6647155451887918,0.0,0.0,0.0,0.18466743132873367,0.17539380103366026,0.009257932335574483,5.3929371562413385e-06,1.030501975172056e-05
33.0,0.9465838274371821,0.11551556703746776,0.6644554349703741,0.0,0.0,0.0,0.1666128250834658,0.1582330408504203,0.008365997604063754,4.737409087751382e-06,9.049221012377695e-06
34.0,0.9246305704861194,0.10960786838255145,0.6641953247519563,0.0,0.0,0.0,0.15082737732998897,0.14324169363725545,0.007573522390582058,4.181921664004566e-06,7.979333915454355e-06
35.0,0.905120334468928,0.1042393144322744,0.6639352145335387,0.0,0.0,0.0,0.13694580562170436,0.13005470248272288,0.006880335158006772,3.704373702895504e-06,7.063525265609377e-06
36.0,0.8877084127899211,0.09934834718364309,0.6636751043151209,0.0,0.0,0.0,0.12468496139269553,0.11840942287748842,0.006265973398302186,3.292469816003303e-06,6.272665693181294e-06
37.0,0.8716861116704516,0.09445737993501178,0.6634149940967031,0.0,0.0,0.0,0.11381373706452019,0.10808374571519148,0.005721464036075738,2.9369453492907744e-06,5.590463060654653e-06
38.0,0.8576780211955712,0.09031950531698923,0.6631548838782854,0.0,0.0,0.0,0.1042036327976512,0.09895390916807137,0.005242098779759706,2.628431166921149e-06,4.996416082222085e-06
39.0,0.8447373219680311,0.08627661315848861,0.6628947736598677,0.0,0.0,0.0,0.09556593531548004,0.0907495547826552,0.004809544747395674,2.358515767640643e-06,4.477278968735142e-06
40.0,0.8326457015961919,0.08232747498759846,0.6625051514430855,0.0,0.0,0.0,0.08781307548906032,0.08338704783594805,0.004419879781793582,2.123065415442255e-06,4.0247534482253545e-06
41.0,0.8213880244416015,0.07898607957324745,0.6615597925560734,0.0,0.0,0.0,0.08084215149508193,0.07676739788138623,0.004069212031421554,1.91430428839135e-06,3.627345939889589e-06
42.0,0.8108927467815586,0.07564468415889644,0.6606144336690613,0.0,0.0,0.0,0.07463362897882049,0.07087324981953413,0.003755370168451932,1.7316708596779613e-06,3.2773629438253448e-06
43.0,0.8010299821815728,0.07237644050517947,0.6596690747820491,0.0,0.0,0.0,0.06898446708788651,0.06550666518587142,0.003473262556437831,1.5703080958657897e-06,2.969064804268174e-06
44.0,0.7922475886548136,0.0696126710195997,0.658723715895037,0.0,0.0,0.0,0.06391120148444521,0.060689707534001394,0.003217370441718734,1.4268365674740016e-06,2.6966985876473466e-06
45.0,0.7839207003395734,0.06684890153401994,0.6577783570080248,0.0,0.0,0.0,0.059293441227897516,0.05630499828773867,0.002984689420301438,1.2991703850880057e-06,2.4543024627111894e-06
46.0,0.7760717643277905,0.06409702484859402,0.6568329981210126,0.0,0.0,0.0,0.05514174044030235,0.05236533158601643,0.002772985052623239,1.185871202895784e-06,2.2379539921854943e-06
47.0,0.7690145012486116,0.06180768262015537,0.6558876392340005,0.0,0.0,0.0,0.05131917924853449,0.04873388083028056,0.002582168783043518,1.0846310432005406e-06,2.0450776960450817e-06
48.0,0.7622898457376892,0.05951834039171672,0.6549422803469883,0.0,0.0,0.0,0.047829225930504926,0.04541908480107211,0.0024072731635501835,9.942379805298581e-07,1.8736867786092334e-06
49.0,0.7558717575921491,0.057228998163278075,0.6539969214599761,0.0,0.0,0.0,0.044645838342854995,0.04239658322118884,0.00224662460478449,9.12847774401925e-07,1.7176399609070691e-06
50.0,0.7500263942067006,0.05520471467118792,0.6530515625729639,0.0,0.0,0.0,0.041770117157407596,0.039666693191954136,0.002101005753725994,8.395748730262332e-07,1.578564192025498e-06
51.0,0.7442230291811999,0.053315016636721155,0.6518205420719443,0.0,0.0,0.0,0.03908747002779497,0.037118517412026535,0.001966726300997741,7.736587434469855e-07,1.4526977124335714e-06
52.0,0.7386083272378028,0.05142531860225438,0.6505509361769781,0.0,0.0,0.0,0.03663207170417244,0.034786620815477454,0.0018433977147752844,7.139132025641843e-07,1.3392045863700782e-06
53.0,0.7332084030857627,0.04953871425808577,0.6492813302820118,0.0,0.0,0.0,0.03438835887578117,0.03265630147622624,0.0017301608713758908,6.599979849759663e-07,1.2365872292165604e-06
54.0,0.7283133772812398,0.04798812138503927,0.6480117243870457,0.0,0.0,0.0,0.03231353171848441,0.0306862178796101,0.0016255596803841407,6.107259028544489e-07,1.1434006573336877e-06
55.0,0.7235716782436387,0.04643752851199278,0.6467421184920795,0.0,0.0,0.0,0.030392031335088488,0.02886011628608541,0.00153029045955709,5.659119729821156e-07,1.0587135220173958e-06
56.0,0.7189743287249316,0.04488693563894629,0.6454725125971132,0.0,0.0,0.0,0.028614880451806317,0.027172820588918043,0.0014405520796857767,5.251616612273593e-07,9.82604532574012e-07
57.0,0.7145086814345575,0.04333634276589979,0.6442029067021471,0.0,0.0,0.0,0.026969431336709586,0.02561060839344067,0.0013574219060472478,4.881943214851909e-07,9.128410715129254e-07
58.0,0.7104318372111771,0.04205383314623444,0.6429333008071809,0.0,0.0,0.0,0.0254447035243736,0.024161976964259424,0.0012814229811552035,4.546240206780782e-07,8.489821043686239e-07
59.0,0.7064869442108027,0.04078761588903979,0.6416636949122146,0.0,0.0,0.0,0.024035632417054854,0.02282377397591157,0.0012106440661692906,4.236500928182077e-07,7.907987988217582e-07
60.0,0.7026427888502372,0.039521398631845145,0.6403940890172485,0.0,0.0,0.0,0.022727301258586786,0.02158143290835014,0.0011447351452319474,3.9550091746922407e-07,7.377108835689347e-07
61.0,0.6988882972630196,0.03825518137465049,0.6391244831222822,0.0,0.0,0.0,0.02150863254433784,0.02042421506951635,0.0010833592181294519,3.6976203540370593e-07,6.885222521941137e-07
62.0,0.6953471237367813,0.03712044216435037,0.637854877227316,0.0,0.0,0.0,0.020371804631610865,0.019344650321944306,0.0010261649948659338,3.4583300440205135e-07,6.434962110320642e-07
63.0,0.6919810840509745,0.03608606569515548,0.6365852713323499,0.0,0.0,0.0,0.0193097466831836,0.018336017232746755,0.000972803583640958,3.237834467739892e-07,6.021188593348058e-07
64.0,0.6885144143142097,0.035051689225960594,0.6351435286897222,0.0,0.0,0.0,0.018319197081597252,0.017395391011245334,0.0009229387813602352,3.034182805501536e-07,5.638778427246752e-07
65.0,0.6850986143042982,0.03401731275676571,0.6336835060384935,0.0,0.0,0.0,0.017397794610087114,0.01652052725782314,0.0008764534895521465,2.84805799807625e-07,5.289926762742828e-07
66.0,0.6817497973567033,0.03298293628757082,0.6322234833872648,0.0,0.0,0.0,0.01654337751684675,0.015709225190818285,0.0008333885584644909,2.6741155174125235e-07,4.962842129305535e-07
67.0,0.6786102418392778,0.03212590097128715,0.6307634607360361,0.0,0.0,0.0,0.015720881139506437,0.014927607098052511,0.0007925566440153652,2.5136843911309696e-07,4.659987330156443e-07
68.0,0.6755560034116479,0.03127984306412598,0.6293034380848073,0.0,0.0,0.0,0.01497272272823743,0.014217475137633004,0.0007545726307695485,2.3663827909692758e-07,4.3824050706658746e-07
69.0,0.6725373809406471,0.030433785156964807,0.6278434154335785,0.0,0.0,0.0,0.014260180371109758,0.013540918419479103,0.0007186266399690827,2.2283253212691687e-07,4.124987549471647e-07
70.0,0.6695569337924901,0.029587727249803637,0.6263833927823498,0.0,0.0,0.0,0.013585813330688664,0.0129003624609268,0.0006848523112353882,2.0999564093323408e-07,3.885846754727739e-07
71.0,0.6666621847990511,0.02874370662297387,0.624960665346819,0.0,0.0,0.0,0.012957813743421292,0.012304068933561048,0.0006531799202562454,1.982691881225436e-07,3.666142519367161e-07
72.0,0.6641016251299796,0.02804963692334483,0.623682398662498,0.0,0.0,0.0,0.012369589141466387,0.01174543578174105,0.0006236196249396121,1.8742871238651034e-07,3.4631844607018533e-07
73.0,0.6615726377877856,0.02735556722371579,0.6224041319781769,0.0,0.0,0.0,0.011812938223722955,0.011216673467395324,0.0005957605980489696,1.7710975780173666e-07,3.2700912380361214e-07
74.0,0.6590743892463415,0.02666149752408675,0.6211258652938558,0.0,0.0,0.0,0.011287026138788972,0.01071730520034118,0.0005692442215671914,1.6754190142880343e-07,3.091199635015527e-07
75.0,0.6566059154531668,0.025967427824457708,0.6198475986095348,0.0,0.0,0.0,0.01079088854283028,0.010246242723074946,0.0005441946381989964,1.5866266739865334e-07,2.9253127530453996e-07
76.0,0.6541659547825178,0.025273358124828667,0.6185693319252137,0.0,0.0,0.0,0.010323264695474172,0.009802032917342952,0.0005208044422397982,1.5033081715739253e-07,2.7697394103502987e-07
77.0,0.6518673447979694,0.02469430818238095,0.6172910652408926,0.0,0.0,0.0,0.009881971178579549,0.009383025281849826,0.0004985408442941043,1.425465465228149e-07,2.6245054537562257e-07
78.0,0.6496058454979848,0.024127430503610162,0.6160127985565715,0.0,0.0,0.0,0.009465616365056216,0.008987485721952362,0.0004777462614746215,1.3535556461320123e-07,2.4904592337092563e-07
79.0,0.6473679673145106,0.02356055282483938,0.6147345318722505,0.0,0.0,0.0,0.009072882470807966,0.008614800813782837,0.00045771683184330923,1.2848666669931692e-07,2.3624686299327902e-07
80.0,0.6450855647517941,0.022993675146068596,0.6133870947023895,0.0,0.0,0.0,0.008704794720203586,0.008265594761626003,0.0004388535664761093,1.2205114813238968e-07,2.2426301566941858e-07
81.0,0.6427617274334786,0.02242679746729781,0.6119868342164108,0.0,0.0,0.0,0.008348095389854227,0.007926739822656367,0.00042102631864121646,1.1608016607712861e-07,2.131537582880678e-07
82.0,0.6404633719588753,0.0218642338497842,0.610586573730432,0.0,0.0,0.0,0.008012564197138633,0.007608058816148585,0.0004041923837268115,1.10393510093685e-07,2.0257920458807528e-07
83.0,0.6382866864337424,0.02140443751984129,0.6091863132444533,0.0,0.0,0.0,0.007695935488507086,0.00730743913955698,0.0003881985693650184,1.0508541707231852e-07,1.9271451419094137e-07
84.0,0.636123719856444,0.02094464118989838,0.6077860527584745,0.0,0.0,0.0,0.007393026078107718,0.007019412996147584,0.000373329547984445,1.0010353390351515e-07,1.834625929344755e-07
85.0,0.6339752767611627,0.02048484485995547,0.6063857922724957,0.0,0.0,0.0,0.00710463975934977,0.006745772470591641,0.0003585968049309224,9.552915216043887e-08,1.7497457017838068e-07
86.0,0.6318437401026911,0.020025048530012562,0.6049855317865169,0.0,0.0,0.0,0.006833159514731314,0.006487795963068214,0.00034510570858483866,9.11087338647292e-08,1.6677510404966137e-07
87.0,0.629730248981066,0.01956525220006965,0.6035852713005382,0.0,0.0,0.0,0.006579725922441443,0.006247572433128448,0.0003319075449831999,8.692971338896784e-08,1.590280672375169e-07
88.0,0.627619314265787,0.019105455870126742,0.6021850108145594,0.0,0.0,0.0,0.006328848365958772,0.00600905989083808,0.0003195535771371408,8.304893097583964e-08,1.5183933230149293e-07
89.0,0.6255945014250684,0.01871313303387949,0.6007847503285807,0.0,0.0,0.0,0.006096618320264354,0.005788635248219654,0.00030775863663418644,7.935725264484724e-08,1.4500456507651154e-07
90.0,0.6237520166017464,0.018338287755043637,0.5995418260989674,0.0,0.0,0.0,0.005871901821164582,0.005575233976446049,0.00029645342818400145,7.586294477988103e-08,1.3853878613496283e-07
91.0,0.621944111827107,0.017963442476207785,0.5983214181271778,0.0,0.0,0.0,0.005659250951335735,0.005373359779443653,0.00028568602810803196,7.260168824467998e-08,1.3250843006136238e-07
92.0,0.6201479033027998,0.017588597197371936,0.5971010101553881,0.0,0.0,0.0,0.005458296867443126,0.005182632343375048,0.000275468384863702,6.944937672262009e-08,1.266816502047364e-07
93.0,0.6183587420090271,0.017213751918536083,0.5958806021835984,0.0,0.0,0.0,0.00526438885720253,0.004998279560384961,0.00026592149512489537,6.650174342524192e-08,1.2123713812505755e-07
94.0,0.6165786945516403,0.016838906639700234,0.5946601942118087,0.0,0.0,0.0,0.00507959354486944,0.004822989448344939,0.0002564244554969421,6.368676854980625e-08,1.1604010294164236e-07
95.0,0.6148372127379523,0.01649297555540118,0.593439786240019,0.0,0.0,0.0,0.004904450249091832,0.004656654992191814,0.0002476230730725856,6.104664466058402e-08,1.111689623762279e-07
96.0,0.6131422006071207,0.01618699227160826,0.5922193782682293,0.0,0.0,0.0,0.004735829225716983,0.004496444026633408,0.00023922020235536188,5.851061305894829e-08,1.0649179681118441e-07
97.0,0.6114572737030372,0.015881008987815342,0.5909989702964397,0.0,0.0,0.0,0.004577294372086677,0.004346007179998519,0.0002311288958296219,5.614665402913589e-08,1.021352520283209e-07
98.0,0.6097760062007662,0.015575025704022421,0.58977856232465,0.0,0.0,0.0,0.004422418092558921,0.004198989697745721,0.0002232766620928748,5.3870970090496534e-08,9.794306045339424e-08
99.0,0.6081046077989043,0.015269042420229502,0.5885581543528603,0.0,0.0,0.0,0.00427741132833952,0.004061302025568814,0.0002159635151096022,5.175371357814088e-08,9.404572763224983e-08
100.0,0.6064376556500074,0.014963059136436583,0.5873377463810706,0.0,0.0,0.0,0.004136850889436564,0.003928060582163003,0.00020865036812632955,4.971278605830914e-08,9.029021223910964e-08
101.0,0.6047282328973601,0.014657075852643666,0.5860694618595258,0.0,0.0,0.0,0.004001694558163263,0.003799517759898976,0.00020204236659645107,4.777270775486754e-08,8.672207225879457e-08
102.0,0.6030479960136977,0.014372739264481217,0.584801177337981,0.0,0.0,0.0,0.003874080111327312,0.0036785164652409254,0.00019543436506657257,4.5945122645174346e-08,8.336293324137121e-08
103.0,0.601407974313312,0.014124307846771302,0.5835328928164363,0.0,0.0,0.0,0.003750773293944959,0.0035613085246700015,0.00018934041313681466,4.418597982390111e-08,8.013077437820812e-08
104.0,0.5997721693394814,0.013875876429061388,0.5822646082948915,0.0,0.0,0.0,0.003631684872481605,0.0034482912775813303,0.00018327406042358,4.2508196372015205e-08,7.704940781929058e-08
105.0,0.5981426234063923,0.013627445011351474,0.5809963237733466,0.0,0.0,0.0,0.003518854047984012,0.003341079608816691,0.00017765946362778397,4.092282145139419e-08,7.413979092429276e-08
106.0,0.596517253686158,0.01337901359364156,0.5797280392518018,0.0,0.0,0.0,0.0034102013220069067,0.0032379809991754404,0.00017210946839859467,3.943883547276228e-08,7.141799560381481e-08
107.0,0.5948971252234211,0.013130582175931646,0.578459754730257,0.0,0.0,0.0,0.003306788713567713,0.003139787260935537,0.00016689480453583764,3.796790755366299e-08,6.872039015309461e-08
108.0,0.5932808814144596,0.01288215075822173,0.5771914702087122,0.0,0.0,0.0,0.00320725988255381,0.0030453409519015143,0.00016181619568276392,3.6597311418579684e-08,6.620868391029018e-08
109.0,0.5916654700035241,0.012633719340511817,0.5759231856871675,0.0,0.0,0.0,0.003108565010015435,0.0029515155054650626,0.00015695054474284281,3.526889528039484e-08,6.377497971109687e-08
110.0,0.5900909658226878,0.012418441355107659,0.5746549011656227,0.0,0.0,0.0,0.0030176227021917216,0.0028652274918447053,0.00015229966948619315,3.400803805928291e-08,6.146607491462442e-08
111.0,0.588530655737904,0.012217241758670176,0.5733866166440779,0.0,0.0,0.0,0.0029267972420731637,0.0027789394782243475,0.00014776572099764145,3.282007915494812e-08,5.929210787952788e-08
112.0,0.5869766703948902,0.012016042162232694,0.572118332122533,0.0,0.0,0.0,0.002842296043167203,0.0026987317573076873,0.0001434754377061277,3.166172177991445e-08,5.717292807948261e-08
