Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
30,7.132999999999999,501,total_interaction,,,7346
30,7.132999999999999,502,MT502,,,365
30,7.132999999999999,504,MT504,,,392
30,7.132999999999999,515,MT515,,,209
30,7.132999999999999,516,MT516,,,445
30,7.132999999999999,517,MT517,,,293
30,7.132999999999999,522,photoelectric_total,,,6231
30,7.132999999999999,534,subshell_MT534_9.66keV,9663.0,,508
30,7.132999999999999,535,subshell_MT535_1.20keV,1198.0,,583
30,7.132999999999999,536,subshell_MT536_1.05keV,1047.0,,702
30,7.132999999999999,537,subshell_MT537_1.02keV,1024.0,,700
30,7.132999999999999,538,subshell_MT538_0.14keV,141.0,,643
30,7.132999999999999,539,subshell_MT539_0.09keV,94.0,,731
30,7.132999999999999,540,subshell_MT540_0.09keV,91.0,,734
30,7.132999999999999,541,subshell_MT541_0.01keV,12.0,,870
30,7.132999999999999,542,subshell_MT542_0.01keV,11.2,,876
30,7.132999999999999,543,subshell_MT543_0.01keV,9.39,,861
