Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
50,7.31,501,total_interaction,,,9965
50,7.31,502,MT502,,,465
50,7.31,504,MT504,,,394
50,7.31,515,MT515,,,208
50,7.31,516,MT516,,,436
50,7.31,517,MT517,,,286
50,7.31,522,photoelectric_total,,,8780
50,7.31,534,subshell_MT534_29.20keV,29204.0,,443
50,7.31,535,subshell_MT535_4.47keV,4469.0,,516
50,7.31,536,subshell_MT536_4.16keV,4160.0,,573
50,7.31,537,subshell_MT537_3.93keV,3933.0,,585
50,7.31,538,subshell_MT538_0.89keV,888.0,,568
50,7.31,539,subshell_MT539_0.76keV,761.0,,624
50,7.31,540,subshell_MT540_0.72keV,719.0,,631
50,7.31,541,subshell_MT541_0.50keV,497.0,,825
50,7.31,542,subshell_MT542_0.49keV,489.0,,826
50,7.31,543,subshell_MT543_0.14keV,141.0,,622
50,7.31,544,subshell_MT544_0.10keV,102.0,,678
50,7.31,545,subshell_MT545_0.09keV,93.0,,678
50,7.31,546,subshell_MT546_0.03keV,29.0,,904
50,7.31,547,subshell_MT547_0.03keV,28.0,,904
50,7.31,550,subshell_MT550_0.01keV,12.0,,760
50,7.31,551,MT551,7.34,,797
50,7.31,552,MT552,7.34,,794
