Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
47,10.5,501,total_interaction,,,9287
47,10.5,502,MT502,,,416
47,10.5,504,MT504,,,394
47,10.5,515,MT515,,,208
47,10.5,516,MT516,,,439
47,10.5,517,MT517,,,289
47,10.5,522,photoelectric_total,,,8157
47,10.5,534,subshell_MT534_25.52keV,25520.0,,450
47,10.5,535,subshell_MT535_3.81keV,3812.0,,520
47,10.5,536,subshell_MT536_3.53keV,3530.0,,581
47,10.5,537,subshell_MT537_3.36keV,3357.0,,591
47,10.5,538,subshell_MT538_0.72keV,724.0,,578
47,10.5,539,subshell_MT539_0.61keV,608.0,,636
47,10.5,540,subshell_MT540_0.58keV,577.0,,651
47,10.5,541,subshell_MT541_0.38keV,379.0,,816
47,10.5,542,subshell_MT542_0.37keV,373.0,,814
47,10.5,543,subshell_MT543_0.10keV,101.0,,625
47,10.5,544,subshell_MT544_0.07keV,69.0,,694
47,10.5,545,subshell_MT545_0.06keV,63.0,,704
47,10.5,546,subshell_MT546_0.01keV,11.0,,898
47,10.5,547,subshell_MT547_0.01keV,10.0,,896
47,10.5,550,subshell_MT550_0.01keV,7.58,,786
