E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_20.01keV,subshell_MT535_2.87keV,subshell_MT536_2.63keV,subshell_MT537_2.53keV,subshell_MT538_0.51keV,subshell_MT539_0.42keV,subshell_MT540_0.40keV,subshell_MT541_0.24keV,subshell_MT542_0.23keV,subshell_MT543_0.07keV,subshell_MT544_0.04keV,subshell_MT545_0.04keV,subshell_MT546_0.01keV,subshell_MT547_0.01keV,subshell_MT550_0.01keV
1.0,25778.497087076736,27.924540090179143,0.033575450541412796,0.0,0.0,0.0,25750.538965644337,0.0,0.0,0.0,0.0,1939.9490219013626,2685.4513987412897,5431.973995110698,5538.008906859256,8083.226143632253,392.08939328997997,416.53594512299617,822.4420806174986,174.11021362602887,251.51208714899113,15.239791251052909
2.0,4993.6213804793915,19.43473813919282,0.08280940069111793,0.0,0.0,0.0,4974.103810943704,0.0,0.0,0.0,0.0,629.2736454748491,750.5547720464826,1441.4889767464977,680.2233688730091,981.7173968569783,114.99079504773594,108.25349919191282,205.77779352721106,23.684767298549268,33.77764682646826,4.361160321815782
3.0,10454.081922348498,22.98429512093155,0.12821149050991285,0.0,0.0,0.0,10430.969428542137,0.0,1395.0082605436917,2521.398758748509,4717.126192252118,301.0137249697447,304.3512407929223,570.554898720543,175.0788350736793,251.09366787686946,53.41431862936688,43.555063299394774,80.96817358996343,6.355450197783059,8.99940873494557,2.0514285253441313
4.0,5058.709534254979,24.532668471600374,0.1701642881522805,0.0,0.0,0.0,5034.006701944046,0.0,858.9020454356533,1170.1782965139937,2148.5297032085346,173.02347672888445,151.5017277321605,279.4030361452861,63.525041286454325,90.52955241058021,30.2921519519792,21.632613006046014,39.66811010791297,2.3558034224461144,3.301863683712133,1.1632651285193272
5.0,2846.397394223806,21.901966418409298,0.2086815570376586,0.0,0.0,0.0,2824.286748435803,0.0,575.1093913895652,629.7539080431749,1142.5398803326025,110.93950734837938,85.44271706182741,155.57109843821414,28.114878502460613,39.88773406237175,19.264108701287327,12.229950444400389,22.15752944085952,1.0605679989667072,1.478785526941652,0.7366899278843492
6.0,1761.3227851256459,19.186383218826627,0.2435310449599915,0.0,0.0,0.0,1741.8928707101138,0.0,406.13730894779354,373.12227460697363,669.0070408805899,76.22292165736518,52.47286099120859,94.62655697881642,14.200931852640165,20.03834885524516,13.183249063985466,7.54562565069932,13.537969408516853,0.5413497072549596,0.75262457948049,0.503806651352704
7.0,1168.129595183177,16.82754589235107,0.2751955075433485,0.0,0.0,0.0,1151.0268515476648,0.0,298.3451850619662,237.34083527423005,421.2286548096042,55.10157833495976,34.32963920155155,61.38022603517245,7.879400801028499,11.07614362013531,9.504310142361959,4.9542180549929125,8.80140381471938,0.30293666364505284,0.41922235673728186,0.3630984655538541
8.0,817.0260550310041,14.849000894252045,0.30442575960267104,0.0,0.0,0.0,801.8726265247208,0.0,226.91918815316,159.25147569242728,280.45269787041207,41.33547980823229,23.575370599610533,41.82072406504825,4.695352113128305,6.579422894283244,7.116337550685592,3.4096228673895936,6.013057039177404,0.18159470274223818,0.2502144280481593,0.2720895604486094
9.0,594.7980218007292,13.160434590043531,0.3290058365247954,0.0,0.0,0.0,581.3085809630885,0.0,176.96761515293633,111.3342216247296,194.88975646967822,31.940020059454152,16.81412593840012,29.605501471535412,2.955272884359749,4.125446496548769,5.490962508069946,2.437270005752516,4.265921465905139,0.11485922389129916,0.15783258303121403,0.20977548955116126
10.0,447.36112737491504,11.736866099382581,0.352720736396912,0.0,0.0,0.0,435.2715424856528,0.0,141.09857102727156,80.55949078493494,140.0487089232739,25.285842378981553,12.370842728476287,21.644407651057488,1.943557909651922,2.704809831655801,4.343416701870489,1.7983536656148238,3.127516024090087,0.0760257974832121,0.1041121726678306,0.165885683102469
11.0,345.16637170584045,10.490317391649224,0.3724374915002153,0.0,0.0,0.0,334.30361828189643,0.0,114.31072915790652,59.89185400675835,103.4703381674741,20.41142073530289,9.330678949222724,16.23611165425481,1.3259303076788094,1.8402159598359962,3.5032177278201035,1.3639047487334084,2.361375906657369,0.052419033393345395,0.07152736109950189,0.13389387819948412
12.0,272.5186776924521,9.394271806290337,0.39141680646115684,0.0,0.0,0.0,262.73298915656534,0.0,94.17405055061188,45.586289035122206,78.4171282204805,16.746309414509795,7.188317160062063,12.431130397438286,0.9332549800711231,1.2908979876139914,2.8794086951873576,1.0610655410175476,1.8270072382230198,0.03736537839438504,0.050794662272842274,0.10996990994010063
13.0,219.0738068189445,8.421654448963517,0.40883099627334835,0.0,0.0,0.0,210.24332116744972,0.0,78.53901119338296,35.4331371757235,60.5635113414684,13.934140332541636,5.640651018183979,9.70557899621376,0.6733005294136679,0.9285147398859268,2.3953199575387902,0.8379620890013626,1.436468190833005,0.0272345999798344,0.03693570345346169,0.09155537461200512
14.0,178.9616253662851,7.548736873365094,0.42430042178765665,0.0,0.0,0.0,170.9885880405362,0.0,66.31805174863341,27.968796420035858,47.629070318616044,11.724030283772802,4.498683885141959,7.705397059656913,0.4971633053175269,0.6841774170785478,2.0201180222253186,0.6721199101441132,1.1461172914888758,0.020265935125518667,0.027407110621075474,0.07718923761570401
15.0,148.06163919801256,6.773389680074606,0.43901025549735995,0.0,0.0,0.0,140.8492390540837,0.0,56.46880975264722,22.43464307544364,37.959122019281295,9.97278266217366,3.635041843014642,6.19846239817571,0.37361837147489513,0.5131293631539423,1.720238639976628,0.5455625861215011,0.9261053444981687,0.01533711533414295,0.020686606063130053,0.06569933234361827
16.0,124.04586911660655,6.071306799842177,0.45325068578680533,0.0,0.0,0.0,117.52131170339905,0.0,48.58903226316664,18.198738495355943,30.69461203180845,8.569240356935204,2.977662700307798,5.0502460923827694,0.28614952001762883,0.39185445752333853,1.4774858129909476,0.44680834612529857,0.7553922428829887,0.011760463207570309,0.015823115352520633,0.05650580703449677
17.0,104.94947798319946,5.402859412885116,0.4654634735445676,0.0,0.0,0.0,99.08115526739931,0.0,42.07908805619687,14.956362435809915,25.14721818393697,7.408647409595806,2.4623158827150182,4.161342360733433,0.22226235555173673,0.3033809266630572,1.2805253579287268,0.36886660922487474,0.6208503640524808,0.009120359298905083,0.012242893148943595,0.04893197122849389
18.0,89.52425153795149,4.752629475208726,0.4775116279778975,0.0,0.0,0.0,84.29411048936525,0.0,36.718087530814714,12.421049759847799,20.764444590046924,6.463450923075497,2.0558447639538597,3.4601930578457583,0.17486377561137256,0.2383989921716237,1.1164938122116583,0.30731675507361056,0.5145978858209924,0.007142848798019992,0.009558473708511157,0.0426671898061829
19.0,76.78480929109034,3.946587600077648,0.4889657357723587,0.0,0.0,0.0,72.34925613214772,0.0,32.2580985641215,10.403731009344773,17.331522021995145,5.669227582024846,1.7344521087612426,2.9062810710345737,0.13955884767627516,0.18963418932482004,0.9804551022808639,0.25671919631564805,0.42892001854396833,0.005632729642299119,0.007535246000999609,0.03748828555055054
20.0,65.870040715315,2.829674462077744,0.5002923105800285,0.0,0.0,0.0,62.54007397485617,0.0,28.46153072210288,8.792475317306124,14.601570727893858,5.004463378902221,1.4713930859413662,2.4575408840910757,0.11242001369809557,0.1524038148403879,0.8658997059781893,0.21644846344298402,0.3603518516874442,0.004496157122616759,0.006000124797106743,0.03307972183387544
21.0,371.96278361845884,3.824506057565999,0.5090329505704175,0.0,0.0,0.0,367.62924406369007,313.15700914299106,25.29050820671002,7.488264887690014,12.383947399381409,4.4426906453725294,1.2584553426383578,2.094201850822796,0.09143299465442194,0.12381357264351879,0.7684956815160439,0.185942664136423,0.30654647261797585,0.0036727305050330864,0.0048912891561688964,0.029370568249330656
22.0,330.69058014539587,4.045424282265518,0.5177735905608065,0.0,0.0,0.0,326.127382097398,278.40404373499774,22.55358509646062,6.421997028505974,10.583071848722097,3.9618974544438084,1.0841043752276653,1.7977658274651862,0.075096648612269,0.10145960475896879,0.6856448980621562,0.1619354923108591,0.2634514652118957,0.003058537567106864,0.004064468959458131,0.02620551753027459
23.0,294.5394827212758,4.004207138542872,0.5261351605336967,0.0,0.0,0.0,290.0091404919658,247.98194333648684,20.193772387789913,5.5347452448826315,9.100930661808736,3.5456955354162205,0.939366868096866,1.5524148959971333,0.062256365603203655,0.08383526896328855,0.6147271017411182,0.14141315847679098,0.22863637400776046,0.0025564210503465426,0.0033900557318375,0.02345671436042949
24.0,263.82679267182135,3.890851375403164,0.5342569275733582,0.0,0.0,0.0,259.4016841962815,222.15497347836268,18.18560204823518,4.804622605566081,7.878315979523175,3.189604729666159,0.8179156090914259,1.3468361540339733,0.0519241018950134,0.06979956732482849,0.5523439321662861,0.12387563506433698,0.19977694813014604,0.0021482701573006632,0.0028431035009650303,0.021102048350511913
25.0,237.59467152717988,3.772436580220711,0.5423786946130197,0.0,0.0,0.0,233.27985632286584,200.14662350036642,16.409431127685064,4.196046093264096,6.846301578971614,2.8808986628040008,0.7161148382402346,1.1758642058218571,0.04364699646208823,0.058535878061884435,0.49889934887606713,0.10897015689961592,0.17525297374945809,0.001814122244024052,0.002396128269400988,0.019060756187538025
