Z,Density_g_cm3,MT,Label,Binding_eV,Fluorescence_yield,Points
42,10.22,501,total_interaction,,,9463
42,10.22,502,MT502,,,399
42,10.22,504,MT504,,,391
42,10.22,515,MT515,,,208
42,10.22,516,MT516,,,439
42,10.22,517,MT517,,,289
42,10.22,522,photoelectric_total,,,8350
42,10.22,534,subshell_MT534_20.01keV,20006.0,,466
42,10.22,535,subshell_MT535_2.87keV,2872.0,,537
42,10.22,536,subshell_MT536_2.63keV,2632.0,,601
42,10.22,537,subshell_MT537_2.53keV,2527.0,,605
42,10.22,538,subshell_MT538_0.51keV,511.0,,591
42,10.22,539,subshell_MT539_0.42keV,416.0,,653
42,10.22,540,subshell_MT540_0.40keV,399.0,,664
42,10.22,541,subshell_MT541_0.24keV,237.0,,836
42,10.22,542,subshell_MT542_0.23keV,234.0,,831
42,10.22,543,subshell_MT543_0.07keV,68.0,,650
42,10.22,544,subshell_MT544_0.04keV,45.0,,722
42,10.22,545,subshell_MT545_0.04keV,42.0,,733
42,10.22,546,subshell_MT546_0.01keV,8.32,,917
42,10.22,547,subshell_MT547_0.01keV,8.32,,913
42,10.22,550,subshell_MT550_0.01keV,8.32,,774
