E_keV,photons_per_keV
1.0,22516902.340878297
1.0995555555555556,20469083.8175567
1.199111111111111,18761303.358893406
1.2986666666666666,17315359.192318115
1.3982222222222223,16075321.887353037
1.4977777777777779,15000132.271594
1.5973333333333333,14058967.404822176
1.696888888888889,13228237.807907287
1.7964444444444445,12489583.139101716
1.896,11828499.330967713
1.9955555555555555,11233376.668945964
2.095111111111111,10694812.12160087
2.1946666666666665,10205108.837360393
2.2942222222222224,9757905.954386815
2.393777777777778,9347900.786149994
2.493333333333333,8970637.563611943
2.592888888888889,8622344.84565
2.6924444444444444,8299809.000855271
2.792,8000274.757217504
2.8915555555555557,7721366.296111201
2.991111111111111,7461024.104035453
3.0906666666666665,7217454.029021819
3.1902222222222223,6989085.875658519
3.2897777777777777,6774539.518121584
3.389333333333333,6572596.985417661
3.488888888888889,6382179.325917734
3.5884444444444443,6202327.323026175
3.6879999999999997,6032185.3342699995
3.7875555555555556,5870987.67911659
3.887111111111111,5718047.118578859
3.9866666666666664,5572745.060953157
4.086222222222222,5434523.199304866
4.185777777777778,5302876.342330437
4.285333333333333,5177346.2445267765
4.384888888888889,5057516.276848399
4.484444444444444,4943006.807239389
4.584,4833471.183120471
4.6835555555555555,4728592.2262633955
4.783111111111111,4628079.165398884
4.882666666666666,4531664.944081732
4.982222222222222,4439103.85132391
5.081777777777778,4350169.430732915
5.181333333333333,4264652.630696456
5.280888888888889,4182360.163803939
5.380444444444445,4103113.0484038917
5.4799999999999995,4026745.3091351697
5.579555555555555,3953102.8165760525
5.679111111111111,3882042.248939967
5.778666666666666,3813430.161099371
5.878222222222222,3747142.1482136045
5.977777777777778,3683062.092931765
6.077333333333333,3621081.486587054
6.176888888888889,3561098.816034716
6.2764444444444445,3503019.008845037
6.3759999999999994,3446752.9304732145
6.475555555555555,3392216.9278124818
6.575111111111111,3339332.414214342
6.674666666666666,3288025.4916464314
6.774222222222222,3238226.6061675125
6.873777777777778,3189870.2333418042
6.973333333333333,3142894.5906006033
7.072888888888889,3097241.3738961034
7.172444444444444,3052855.516287131
7.271999999999999,3009684.96635502
7.371555555555555,2967680.48457494
7.471111111111111,2926795.4559678216
7.570666666666666,2886985.7175342375
7.670222222222222,2848209.3991272063
7.769777777777778,2810426.776558542
7.869333333333333,2773600.1358553916
7.9688888888888885,2737693.6476918394
8.068444444444445,2702673.2511167675
8.168,2668506.545784793
