E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_25.52keV,subshell_MT535_3.81keV,subshell_MT536_3.53keV,subshell_MT537_3.36keV,subshell_MT538_0.72keV,subshell_MT539_0.61keV,subshell_MT540_0.58keV,subshell_MT541_0.38keV,subshell_MT542_0.37keV,subshell_MT543_0.10keV,subshell_MT544_0.07keV,subshell_MT545_0.06keV,subshell_MT546_0.01keV,subshell_MT547_0.01keV,subshell_MT550_0.01keV
1.0,37090.28420194233,34.40827213792745,0.026264549260573356,0.0,0.0,0.0,37055.849603170405,0.0,0.0,0.0,0.0,2090.012962674786,2930.3810823533277,6176.37275682232,8907.74196556454,12984.993048941476,510.72705396405115,565.0049745623348,1132.2589511901085,713.489622587442,1027.6161325206044,17.251065530352836
2.0,7369.185643914156,29.12626530279413,0.07099751615212833,0.0,0.0,0.0,7339.988375222931,0.0,0.0,0.0,0.0,725.7280148085736,942.0868583791407,1831.8726791262727,1212.6310798354775,1744.0380194219804,152.04830406382501,157.82400657688524,301.01489027818883,110.63798945399529,157.08785899971502,5.018684744558537
3.0,2692.4682468154583,19.5792021100885,0.11466491276963667,0.0,0.0,0.0,2672.7743781974214,0.0,0.0,0.0,0.0,356.4749993813065,407.3132706501228,767.0289217746852,329.7623556727501,470.07465740210114,71.81062586563795,67.00160435224889,124.13029153981137,31.92888776896337,44.89316393730644,2.3556003427174175
4.0,6843.374622628422,23.333307926549907,0.1548889316220727,0.0,0.0,0.0,6819.886413987888,0.0,926.7468910032159,1627.3760207180576,2987.1371264893005,208.8198229005018,210.95583291995982,389.03252308128117,124.17840073621359,175.76330951560578,41.28859097360654,34.55969270207777,62.90883251006166,12.429551758961479,17.338551110970563,1.3512775360755356
5.0,3884.805613873827,24.302412154999498,0.19167006625067515,0.0,0.0,0.0,3860.311532024268,0.0,636.7229355092038,896.4858168909828,1612.6296460070182,135.40002476648448,122.71601540801792,222.75182579411484,56.56352442899616,79.74614092435935,26.477207813483304,20.103657358743355,36.03101500170631,5.78710025311456,8.0301272432272,0.866493480340402
6.0,2429.9763451415824,21.980643056656458,0.22560459395177626,0.0,0.0,0.0,2407.7700988140205,0.0,459.04697310514587,543.4918388714622,963.6812717665484,94.15228324892277,77.35125160948569,138.56032213996747,29.25305545552487,40.976927468249485,18.27656827728715,12.675652155539881,22.478149164763817,3.034536109645953,4.194095131914141,0.5971732931066603
7.0,1623.6013332979303,19.51549730025328,0.2570461909051156,0.0,0.0,0.0,1603.8287901290425,0.0,342.48384371729674,351.7145215593961,616.9550277615773,68.74554594570242,51.62824572980483,91.48216429214077,16.53892148855432,23.07201832346734,13.280337111982908,8.484929482320245,14.890047167653176,1.7370089180167554,2.382888461747549,0.43328971586888687
8.0,1140.2218277121751,17.332366044889874,0.28715362035424724,0.0,0.0,0.0,1122.6023074164139,0.0,264.43526090840396,238.80283259280566,414.88997103008023,52.05818290889235,36.08567679907698,63.29360277685673,10.005013435794485,13.901811691633432,10.022836942662158,5.943912040903893,10.327351219455194,1.0620428841407126,1.446943831750169,0.32686875736522747
9.0,833.4161081904998,15.453181912259321,0.31334019981524197,0.0,0.0,0.0,817.6495862314274,0.0,208.53309894185875,169.32729937479917,291.1204422051795,40.5728515016186,26.093132685863715,45.398229343679176,6.384931943246399,8.835208010242887,7.786038803943821,4.308530387927203,7.426328385014256,0.6827475792617901,0.9266798308445084,0.2540666696809971
10.0,628.4964545123415,13.862114416891014,0.33882341888856987,0.0,0.0,0.0,614.2955157626756,0.0,168.03432067088818,123.5545580157636,211.05820789378598,32.34226863192407,19.436560432368633,33.55909979071435,4.24999017967252,5.861493656035514,6.20038211893169,3.2171635794798106,5.50304384557907,0.4572009371604858,0.6190573101800807,0.20216860743109083
11.0,486.30642248887364,12.508302202071933,0.35951570590477394,0.0,0.0,0.0,473.4386046513609,0.0,137.35548385294376,92.77973054095644,157.29802355302846,26.253542128747124,14.814521846627322,25.41336076645891,2.928736497908304,4.028132958193825,5.025694852388283,2.4580282139149756,4.175124935880756,0.3167104211333209,0.42753675266672797,0.16397837692002795
12.0,384.78865130561417,11.324844038250559,0.3795248288208681,0.0,0.0,0.0,373.0842815457703,0.0,114.15813165487188,71.18611544633116,119.9725686564362,21.681223278428753,11.539083745007586,19.654840280536252,2.0798883546979856,2.8515625757186016,4.144048080064323,1.9174782903571002,3.2343868203660575,0.22587339138532975,0.3039350723344765,0.13514585483308272
13.0,309.89767394144934,10.285499644917264,0.39773836341835045,0.0,0.0,0.0,299.2144357109088,0.0,95.9084544532035,55.67543881740147,93.2812281487489,18.121302709213094,9.13975619389443,15.471744752472032,1.5157122319868541,2.0682293069596285,3.462380787598357,1.5197727226605107,2.5507744076293046,0.16519211971658057,0.22154254864047512,0.11290644984505195
14.0,253.54437651223628,9.364765074034318,0.4136549114780212,0.0,0.0,0.0,243.76595675656503,0.0,81.40401105269993,44.29229591476861,73.77048187145309,15.344390051919435,7.34242286772499,12.37395262703028,1.1264549462131255,1.5350817089901223,2.928012671198304,1.2241060216301323,2.0414151738378323,0.1232024005316182,0.16467537262591694,0.09545398297528039
15.0,210.18911088044752,8.54901828820418,0.4288328222192766,0.0,0.0,0.0,201.21125964368846,0.0,69.81784698783012,35.69312336998361,59.117000460370896,13.106955219972498,5.986842660572084,10.020496339560456,0.8539775243002458,1.1594575228577182,2.4996978111513655,0.9988063346711822,1.656939332906235,0.09367478492239036,0.12492117076134823,0.08152017678423432
16.0,176.41751485854064,7.8105463928627055,0.4434313666137865,0.0,0.0,0.0,168.16353690219304,0.0,60.34620657178101,29.15718179711722,48.079417671918456,11.302796167221864,4.931581699171745,8.218073638880675,0.6582737378441612,0.8913336102883024,2.1562025446881425,0.823947984827702,1.3597084118149352,0.07237215393603082,0.0962245024176112,0.07021649580318999
