E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_8.99keV,subshell_MT535_1.10keV,subshell_MT536_0.96keV,subshell_MT537_0.94keV,subshell_MT538_0.13keV,subshell_MT539_0.08keV,subshell_MT540_0.08keV,subshell_MT541_0.01keV,subshell_MT542_0.01keV,subshell_MT543_0.01keV
1.0,50709.11364027027,13.742637151489461,0.028434716841184052,0.0,0.0,0.0,50695.34244421207,0.0,0.0,15097.169667570366,29064.09149058861,1219.690123577545,1307.3296861803867,2542.07234057654,583.6484896225711,852.606118674037,28.734438839006117
2.0,10342.616656419226,22.879401376329376,0.07657945696872975,0.0,0.0,0.0,10319.660662984637,0.0,2070.0581422971027,2422.1221959504473,4632.524150580291,335.3272337037746,249.98548512364823,477.0274695912811,50.9760775594587,73.94875397087827,7.691151424213657
3.0,3596.0005174119647,19.493469334345882,0.12445044724925076,0.0,0.0,0.0,3576.382601350838,0.0,967.7605191872718,756.7870228054759,1431.2853953451,147.20330480085624,84.13137287481827,158.849581037981,11.04230026426789,15.971793000823764,3.3513104961571076
4.0,1666.8175509837558,16.214406829555916,0.1700390743451668,0.0,0.0,0.0,1650.4331039304852,0.0,537.6893316941404,318.38359145001687,597.5040375645443,79.77737157743854,37.077661440193914,69.46536390727465,3.56860865539707,5.140134936302163,1.8270023478478647
5.0,911.1666729802625,13.379996307185298,0.21176391012936094,0.0,0.0,0.0,897.5749138510292,0.0,332.9690173595589,159.28413584068724,297.1611184509364,48.760986062158686,19.144835939044686,35.614774024827035,1.4481561032112864,2.075799077762337,1.1160912505279965
6.0,553.6339744862369,11.017188100536096,0.24961390751075363,0.0,0.0,0.0,542.3671702812834,0.0,221.59868539450596,89.30644395278608,165.5177571853523,32.27726911729467,10.969876553473494,20.30724770578668,0.6819657281991403,0.9709445372264199,0.7369801988291786
7.0,362.43240599661766,9.02481678674924,0.2842858412503707,0.0,0.0,0.0,353.12330315890216,0.0,155.5795757827357,54.24023824143673,100.10911858170485,22.557797694254738,6.778800381765605,12.478881842262052,0.35707750522229903,0.5066957044371412,0.5151175839166224
8.0,250.38416913910456,7.146316416569802,0.31728760654598187,0.0,0.0,0.0,242.92056506707343,0.0,113.6605921366402,35.0159806338199,64.3742293086067,16.445051881032608,4.432951413961748,8.126680805828945,0.20247256681341064,0.28691646052623626,0.37568999833335026
9.0,1337.3891813107405,4.195635147575858,0.34578868117124933,0.0,0.0,0.0,1332.847758129067,1158.4649180879535,85.78183221468484,23.689045881664835,43.371313588194596,12.394585488950426,3.0320878228084025,5.535825847840836,0.12232554854750385,0.172844642350099,0.28297897224837604
10.0,1034.9369814436022,6.12661332520245,0.3734931841323093,0.0,0.0,0.0,1028.4368762121264,899.0470090927822,66.34134309080859,16.645993102784654,30.350738937070666,9.586589218915403,2.14952319070331,3.909746815822754,0.07770478607527886,0.10948536808554545,0.21874291806431387
11.0,810.2266022367637,6.046152940230597,0.3961597156228078,0.0,0.0,0.0,803.7842902022115,705.0189633836537,52.48096724055299,12.072589251140386,21.930207667222824,7.571365970719097,1.5693253410440018,2.844268555499949,0.051436682898362354,0.07240335312440242,0.17276331372667045
12.0,644.1385316606442,5.68325575245292,0.41807053822259754,0.0,0.0,0.0,638.0372029162543,560.9605462723358,42.24629019615796,8.970975577706337,16.24817343037562,6.090826569945272,1.1740250546725208,2.122622648414104,0.03524782347204781,0.049438075223878386,0.13905796434308795
13.0,521.5662418173655,5.277868101628939,0.4377330518523505,0.0,0.0,0.0,515.8506405473831,454.54490937914784,34.50233941496776,6.824932903843881,12.316429753845473,4.97485972396959,0.8980645296496399,1.6158795222277837,0.024846050360138185,0.03481200656109694,0.11356800028672331
14.0,428.79226053458774,4.8885398357609136,0.4544791246551355,0.0,0.0,0.0,423.4492416850372,373.879054283557,28.563737239475614,5.284974976187428,9.510282234387237,4.12084361298671,0.6985952266736468,1.254688477811055,0.017949746967882093,0.025099409300476272,0.09401647641439076
15.0,355.79805271356315,4.523935884180657,0.47041157472544004,0.0,0.0,0.0,350.8037050905298,310.13806471282686,23.931659325982714,4.161145373680245,7.470840622397874,3.4505243874305567,0.5526399710948778,0.9883570333415395,0.013263111700900873,0.01849114663165879,0.07871949019977957
16.0,298.8222394327337,4.197194004709506,0.4856199072610027,0.0,0.0,0.0,294.1394252839096,260.375097021464,20.24264209420932,3.324654006769368,5.950514372831237,2.921751775954306,0.4432871704963748,0.7910303536773617,0.009962555768817017,0.013881280233811247,0.0666048161067227
17.0,253.62372445375007,3.9033973197318304,0.4974119659853824,0.0,0.0,0.0,249.22291482916208,220.88987493167562,17.27575519063965,2.6887172950716414,4.8000353226835495,2.4936092752827337,0.3598630721709862,0.639936982952603,0.007614268975079447,0.010590813033357668,0.05691781671684782
18.0,217.3294427843938,3.6322876236537676,0.5090332288234418,0.0,0.0,0.0,213.18812200985786,189.1794935012545,14.861225540531654,2.2012204301868983,3.9181991999879684,2.1455432253708486,0.2955502065580366,0.5237961161172694,0.005912120976855775,0.00820083276998044,0.048980714527456726
19.0,187.1640435273983,3.39058284638133,0.52003820864255,0.0,0.0,0.0,183.25342251065516,162.71779380346712,12.892231693527833,1.8207766806033947,3.2283945336412665,1.8622037462772227,0.24482936808872494,0.4336432255270766,0.004644073440430365,0.006437692516779926,0.04246774925338408
20.0,162.44860126055747,3.17189055867057,0.5308876547389197,0.0,0.0,0.0,158.74582280967607,141.06741394336768,11.236640999519558,1.517213078109152,2.6880081958322606,1.6244065817440039,0.2048729651032133,0.3613925951838791,0.0036926819619142242,0.0051095325678139555,0.0370722710981576
21.0,142.02650012287796,2.9653643711012876,0.5385834064146555,0.0,0.0,0.0,138.52255212292798,123.18518299866768,9.862174781307477,1.2763319957311032,2.2567749868704854,1.4256808324892614,0.172775559775675,0.3040234561000975,0.002968700834170525,0.004097818517272822,0.03254121453990906
22.0,125.01355164624849,2.787239732302188,0.5462791580903912,0.0,0.0,0.0,121.68003262342938,108.28542693693565,8.706859814034136,1.0822439043220573,1.906812557284477,1.2596104914459367,0.14680413860097757,0.2578280725689373,0.0024110853076516753,0.0033236262331884686,0.02871205027703794
23.0,110.45449261252142,2.6128246339643972,0.5536106818271623,0.0,0.0,0.0,107.28805735650138,95.52741521050667,7.722263193661407,0.9235296970396656,1.6229252896531714,1.1164619602286057,0.1254645445563046,0.21981331495069034,0.001972774663065374,0.002716005499703302,0.02549529721150012
24.0,98.05249439633559,2.4619189164772415,0.5607117918564504,0.0,0.0,0.0,95.02986366204286,84.64790292735219,6.87757280722854,0.7933497830381914,1.3924742950314222,0.9953081647271018,0.1080053154386513,0.18867703001614647,0.0016280000727351652,0.0022383329403185227,0.02270700674798314
25.0,87.51825081959387,2.314061956407443,0.5678129018857385,0.0,0.0,0.0,84.63637604694958,75.42955565982834,6.150985295470476,0.6851220486576785,1.2002165978784873,0.890522787064217,0.09344099282975468,0.16300110532035847,0.0013547138457191722,0.0018584499240520286,0.020318385145066106
26.0,78.4275313538576,2.185357410228218,0.5732942493509073,0.0,0.0,0.0,75.66887946110128,67.4613480767274,5.5267037546678965,0.5955002678177493,1.0404618493035835,0.80089715857686,0.0813478468610793,0.1416796195270661,0.0011344879237711752,0.0015546689175233602,0.018251861661019924
27.0,70.64046020602952,2.0601670561011183,0.5785568093641691,0.0,0.0,0.0,68.00173623947589,60.655122453697345,4.9852654630894415,0.5200116007197162,0.905966748712246,0.7219349185432905,0.07110823597909842,0.12359024924508892,0.0009571036866849497,0.0013099169116652012,0.016469571751702206
28.0,63.75062136737404,1.9476652823129401,0.5838193693774307,0.0,0.0,0.0,61.219136882072505,54.62312153698212,4.5065129443438305,0.45622524106310286,0.7927285839833156,0.6529827706002811,0.06245990858058015,0.108273722602752,0.0008123456299175422,0.0011104720381549704,0.014909172307749699
29.0,57.762109477152016,1.8432459964635464,0.5887234904616071,0.0,0.0,0.0,55.33013986991398,49.38246244333355,4.090181256884922,0.4017895765775437,0.6975113927467551,0.5926424661179053,0.055097424039439416,0.09529066277132807,0.0006926396448362358,0.0009454723417625715,0.013526459572159212
30.0,52.49906144254761,1.743211877523354,0.5935467843898005,0.0,0.0,0.0,50.162302695280076,44.78056268098726,3.7234449591555956,0.3554467106719857,0.6162428173505202,0.5397822524597223,0.048817962894021114,0.08428166762261341,0.0005941143253907871,0.0008092901717536592,0.012320379123775
31.0,47.88735286909057,1.6578219982967282,0.5983700783179937,0.0,0.0,0.0,45.631160946509425,40.74404867923517,3.4013638730010283,0.3156529513251107,0.5460699580990469,0.49331178660381075,0.04344315378290144,0.07481854975557486,0.0005121278225181016,0.0006966525199150651,0.011243078632557019
32.0,43.79874179865754,1.5724321190701025,0.6023387455167482,0.0,0.0,0.0,41.623970957003856,37.178245054187684,3.110402349748421,0.2815918872149677,0.4856843100688628,0.45131056230337546,0.0387671247424282,0.06662758681635939,0.0004432956825452375,0.0006023189575774866,0.010296461417615945
33.0,40.20374727918397,1.4974752423141098,0.6048951250432468,0.0,0.0,0.0,38.10137693029271,34.04395344951499,2.853297642502155,0.2517954617149295,0.4336657775288544,0.4140555890108852,0.03470326955120122,0.059539991606252264,0.00038564670305632633,0.0005235188104455248,0.009456574678541278
34.0,36.98057710591842,1.4289455713741674,0.6074515045697454,0.0,0.0,0.0,34.944180031013836,31.229619914363614,2.6252522701269694,0.2260326913319657,0.38817588193947106,0.38107992874544383,0.031159776526593876,0.053373403265008,0.00033682927721819585,0.00045664288784722716,0.008692706864170698
35.0,34.05712267823242,1.360415900434225,0.6100078840962441,0.0,0.0,0.0,32.086698900092074,28.6799373902656,2.4185185233133617,0.20356657663602992,0.34877072413273463,0.35114230963737836,0.028078697960540383,0.047978712643605835,0.00029530187320291274,0.00039982106745553494,0.00801084079333887
