E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_29.20keV,subshell_MT535_4.47keV,subshell_MT536_4.16keV,subshell_MT537_3.93keV,subshell_MT538_0.89keV,subshell_MT539_0.76keV,subshell_MT540_0.72keV,subshell_MT541_0.50keV,subshell_MT542_0.49keV,subshell_MT543_0.14keV,subshell_MT544_0.10keV,subshell_MT545_0.09keV,subshell_MT546_0.03keV,subshell_MT547_0.03keV,subshell_MT550_0.01keV,MT551,MT552
1.0,46051.15397619313,37.64943977652765,0.029753264296201325,0.0,0.0,0.0,46013.474991315496,0.0,0.0,0.0,0.0,2183.22098966065,3051.704628324751,6659.046029549463,11578.694329464277,16898.579796267008,606.5716725811459,687.8820650961045,1401.6798211966857,1153.9062227750803,1673.923510481538,71.85906594047862,16.014627001642037,30.392159307496268
2.0,9381.052478076545,33.4195397303851,0.07934836657855371,0.0,0.0,0.0,9347.553590922456,0.0,0.0,0.0,0.0,800.7669136880843,1077.612637851804,2122.6562389181254,1674.1060804205356,2405.1008178627126,183.15730801420472,200.0908303931431,384.96543956871625,191.74161486249565,273.59906569086036,20.996157336654257,4.557897813671482,8.202586134562782
3.0,3452.9066979405125,25.425424581233425,0.12425533485265941,0.0,0.0,0.0,3427.3570365896257,0.0,0.0,0.0,0.0,400.24574922545185,483.1344876412608,914.7219349379791,469.86194843663435,668.2304488326992,87.06563674884097,87.20413666404366,162.43697760691123,57.653246812307835,81.52980947796655,9.846494862311076,1.9761782757116957,3.4499814539907385
4.0,5274.101031614324,14.528634737639175,0.1642735301760392,0.0,0.0,0.0,5259.408123371176,0.0,0.0,0.0,3612.5220941981393,236.70399520042707,256.8557369684729,474.14349199388187,180.4520326787016,254.714579942695,50.363033510822575,45.946132021090186,83.83815049498574,23.07035012735086,32.32530747681347,5.653668269234355,1.042417356390891,1.7771341763451367
5.0,4750.466310711365,24.738210084358833,0.20043636581064897,0.0,0.0,0.0,4725.527667703508,0.0,684.5286467521033,1115.365069290629,2002.9093851950595,154.79951331794447,151.9750391161043,275.38487481271886,83.50532754307537,117.13450545911509,32.54402555449153,27.17080772343999,48.71640130252798,10.952992814630363,15.248981154418692,3.643446242851114,0.6154900833399436,1.0331565817067896
6.0,2978.624004579566,23.845482005850386,0.23314959440529057,0.0,0.0,0.0,2954.545372923465,0.0,499.9399955380877,680.7978552377771,1202.2588431681459,108.22608884149325,96.98689665744259,173.42803289545688,43.73946323630742,61.00763760070368,22.566614911354147,17.35402282212088,30.729419449822913,5.839476407488357,8.0903532333811,2.535952417478615,0.3930724490713993,0.651646930104355
7.0,1999.5520937198278,21.61650369269984,0.26382103014256253,0.0,0.0,0.0,1977.6717690581677,0.0,377.55246449094346,444.76912336676156,775.7947780844545,79.39521394536199,65.53890957560944,115.57804404446654,25.00452321485432,34.700697332420994,16.453240906282222,11.744882493529099,20.53084727272684,3.3855261618215597,4.665476279344846,1.8562684718584495,0.2658802427056516,0.4358937879826811
8.0,1410.1819142859536,19.35293527341872,0.29274776777768946,0.0,0.0,0.0,1390.536229914142,0.0,292.9558426114801,305.4798077256743,526.4334698537011,60.4437243120034,46.23338639357559,80.65060719694819,15.269014937790688,21.10215808098532,12.457720812855491,8.297791342101847,14.350253999052658,2.0904358734427193,2.870078755703845,1.409001880284066,0.18801607547391364,0.3049200557577773
9.0,1032.8557189581413,17.321572623880144,0.31873361478300055,0.0,0.0,0.0,1015.2154130466204,0.0,233.00628563075668,217.54075034162156,371.18065078515616,47.287763336900916,33.71370744717406,58.3018719129793,9.817692330228757,13.514126163107454,9.717129227389629,6.0683692212175115,10.397553793127638,1.3577436704815347,1.8546747879540177,1.098660926326678,0.13745015115290463,0.22098217700590328
10.0,781.0728547092166,15.582459046085955,0.3439711832955365,0.0,0.0,0.0,765.1464255979753,0.0,188.76310498942908,159.99918439632282,270.88771490624316,37.82990406077953,25.28602565929041,43.387420519985646,6.581360555196234,9.024630939763602,7.759280141101602,4.560810569395064,7.755656591626797,0.9174674257539391,1.2490688894059285,0.8766103962403046,0.10341395748194529,0.16477065873391428
11.0,605.167064245624,14.079926445769258,0.3655948413451734,0.0,0.0,0.0,590.7215437888685,0.0,155.21142269566496,120.75330376815634,202.45582778170672,30.850261515762757,19.427396100483968,33.049647365255666,4.56367825329294,6.2369074889373755,6.314640470120495,3.5071959494539193,5.922957127581586,0.6407232709330882,0.8692089483291849,0.7130709280543989,0.0795871519184,0.12571378164292418
12.0,479.42287334285777,12.781055129194703,0.386537479930732,0.0,0.0,0.0,466.2552805979877,0.0,129.62416067306634,93.02673786689692,155.0762259205163,25.51805060582151,15.213871803680993,25.688233392918825,3.257569176022424,4.43742963873723,5.2191314220114675,2.751646345974699,4.610989040294595,0.45956723372677727,0.6220867919450301,0.5890852352028821,0.06251336651741866,0.09798203962318808
13.0,386.4715608018267,11.643533167023872,0.4055400690423426,0.0,0.0,0.0,374.4224874109079,0.0,109.26160968374018,73.13082762390415,120.9336728279264,21.418302439508007,12.105011882571105,20.31866492697774,2.3823792767254215,3.2332172816294236,4.374356299869322,2.1950077961543637,3.6546579559746997,0.33805422446321093,0.4556865696536925,0.49354016840495335,0.04981839466759397,0.07767968267655892
14.0,316.55784725981977,10.635703246481523,0.4220377785424542,0.0,0.0,0.0,305.5001059278183,0.0,93.24371759814886,58.30552313329965,95.96888245647922,18.15521885580307,9.782079564738222,16.315067921299843,1.7803577088159888,2.4107710261551216,3.7072143875792767,1.7762055083214918,2.939720961101615,0.2533717782154026,0.34076516482337127,0.4184306051063634,0.04034745264757263,0.062432171929328754
15.0,262.717632386214,9.742896351315084,0.4377834320753561,0.0,0.0,0.0,252.53695236592654,0.0,80.20956176116285,47.20540977009549,77.19553842023039,15.566861077424548,8.000758693166391,13.260148275270446,1.3548385219084706,1.8275189428931748,3.172610270206534,1.4558913206955981,2.3928431147528206,0.19359605309550332,0.25928005672801646,0.35815534031443963,0.03305206795562317,0.050888776536457916
16.0,220.68735307725223,8.955791610192463,0.45291347199967336,0.0,0.0,0.0,211.27864785409992,0.0,69.56190693189059,38.69877153284349,62.91752829559757,13.452077295377038,6.624074859940967,10.917103331866102,1.0479950105957798,1.4112432069712404,2.740472640403136,1.205683074942657,1.9727453107555262,0.150063005631669,0.20037498793070863,0.3092854929049971,0.027411450057883122,0.0419115279508052
17.0,187.17753843978295,8.232173381257663,0.4651877327020252,0.0,0.0,0.0,178.48017732024982,0.0,60.71069084716664,32.06892454734504,51.812017900201965,11.711626892803974,5.535759389306938,9.074193028493934,0.8224484913866166,1.1036067788954562,2.387206584372094,1.0097187955724893,1.6416532357357567,0.11815939667796833,0.15707647105999756,0.26921991018134445,0.022939301195648836,0.034935791581486866
18.0,160.32248990555442,7.563394466938976,0.477297252332893,0.0,0.0,0.0,152.28179819284836,0.0,53.39906765528917,26.828154290981587,43.1344708674109,10.278244419631527,4.671762909808926,7.613570991773712,0.6539226941469588,0.8746226541527629,2.0926947189764675,0.852829267357597,1.37894193565796,0.09406733417592315,0.12469713435498811,0.2360647171664226,0.019375615511340986,0.029310991269516872
19.0,138.48628844522858,6.984388708747196,0.48881233654106504,0.0,0.0,0.0,131.01308727530943,0.0,47.22593188917141,22.64378073042744,36.26924938192072,9.071570752366062,3.9713467214085867,6.439930867232188,0.5255404153857587,0.7021281514580773,1.8448609269081722,0.7257487709233198,1.167581974524105,0.07580265398541411,0.10008461629781802,0.20820648202843434,0.016489890318529685,0.024833072255790508
