E_keV,mu_over_rho_cm2_per_g,tauK_over_rho_cm2_per_g
1.0,5210.0,0.0
1.0995555555555556,4641.736888888889,0.0
1.199111111111111,4073.473777777778,0.0
1.2986666666666666,3505.210666666667,0.0
1.3982222222222225,2936.947555555554,0.0
1.497777777777778,2368.6844444444428,0.0
1.5973333333333333,2147.512,0.0
1.696888888888889,1934.2640000000001,0.0
1.7964444444444445,1721.0159999999998,0.0
1.896,1507.768,0.0
1.9955555555555555,1294.52,0.0
2.095111111111111,1189.81028466483,0.0
2.1946666666666665,1090.1724517906337,0.0
2.2942222222222224,990.534618916437,0.0
2.393777777777778,890.8967860422406,0.0
2.493333333333333,972.3452111088993,0.0
2.592888888888889,1944.3693693693695,0.0
2.6924444444444444,1949.4144144144145,0.0
2.792,1954.4594594594594,0.0
2.891555555555556,1959.5045045045044,0.0
2.991111111111111,1964.5495495495495,0.0
3.0906666666666665,1850.6983113381582,0.0
3.1902222222222223,1824.8452296485502,0.0
3.2897777777777777,1798.9921479589423,0.0
3.389333333333333,1691.5713720838278,0.0
3.488888888888889,1573.4746276525634,0.0
3.5884444444444443,1483.2714757709252,0.0
3.688,1446.2670704845816,0.0
3.787555555555556,1365.701244691325,0.0
3.887111111111111,1296.3672694797947,0.0
3.9866666666666655,1256.358338914937,0.0
4.086222222222222,1206.1127111111111,0.0
4.185777777777778,1154.2840888888888,0.0
4.285333333333333,1102.4554666666668,0.0
4.384888888888889,1050.6268444444445,0.0
4.484444444444444,998.7982222222225,0.0
4.584,946.9696000000001,0.0
4.683555555555556,895.1409777777774,0.0
4.783111111111111,843.3123555555554,0.0
4.882666666666666,791.4837333333335,0.0
4.982222222222222,739.6551111111112,0.0
5.081777777777778,708.8760888888888,0.0
5.181333333333333,682.6730666666667,0.0
5.280888888888889,656.4700444444445,0.0
5.380444444444445,630.2670222222222,0.0
5.48,604.0639999999999,0.0
5.579555555555555,577.8609777777779,0.0
5.679111111111111,551.6579555555555,0.0
5.778666666666666,525.4549333333334,0.0
5.878222222222222,499.25191111111116,0.0
5.977777777777778,473.0488888888889,0.0
6.077333333333333,457.97800000000007,0.0
6.176888888888889,446.106,0.0
6.2764444444444445,434.234,0.0
6.376,422.36199999999997,0.0
6.475555555555555,410.49,0.0
6.575111111111111,398.618,0.0
6.674666666666666,386.74600000000004,0.0
6.774222222222222,374.874,0.0
6.873777777777778,363.002,0.0
6.973333333333333,351.13000000000005,0.0
7.072888888888889,339.25800000000004,0.0
7.172444444444444,327.38599999999997,0.0
7.271999999999999,315.51400000000007,0.0
7.371555555555555,303.64200000000005,0.0
7.471111111111111,291.77,0.0
7.570666666666666,279.8980000000001,0.0
7.670222222222222,268.02600000000007,0.0
7.769777777777778,256.154,0.0
7.869333333333333,244.28200000000007,0.0
7.968888888888888,232.41000000000014,0.0
8.068444444444445,225.34279999999995,0.0
8.168,220.45960000000002,0.0
8.267555555555555,215.5764,0.0
8.367111111111111,210.6932,0.0
8.466666666666665,205.81000000000006,0.0
8.566222222222223,200.92679999999996,0.0
8.665777777777777,196.04360000000003,0.0
8.765333333333333,191.16040000000004,0.0
8.864888888888888,186.27720000000002,0.0
8.964444444444444,181.394,0.0
9.064,176.5108,0.0
9.163555555555556,171.62759999999997,0.0
9.26311111111111,166.74440000000004,0.0
9.362666666666666,161.86120000000005,0.0
9.462222222222222,156.978,0.0
9.561777777777776,152.09480000000008,0.0
9.661333333333332,147.2116000000001,0.0
9.76088888888889,142.3284,0.0
9.860444444444443,137.44520000000006,0.0
9.96,132.56199999999995,0.0
10.059555555555557,129.3522608797516,0.0
10.15911111111111,127.26648802202308,0.0
10.258666666666668,125.18071516429445,0.0
10.358222222222222,123.09494230656591,0.0
10.457777777777777,121.00916944883737,0.0
10.557333333333332,118.92339659110878,0.0
10.656888888888888,116.8376237333802,0.0
10.756444444444444,114.75185087565161,0.0
10.856,112.66607801792304,0.0
10.955555555555556,110.58030516019446,0.0
11.05511111111111,108.4945323024659,0.0
11.154666666666666,106.40875944473731,0.0
11.25422222222222,104.32298658700877,0.0
11.353777777777776,102.2372137292802,0.0
11.453333333333331,100.15144087155161,0.0
11.552888888888887,98.06566801382303,0.0
11.652444444444445,95.97989515609441,0.0
11.752,93.89412229836583,0.0
11.851555555555557,91.80834944063724,0.0
11.95111111111111,89.72257658290869,0.0
12.050666666666666,87.6368037251801,0.0
12.150222222222222,85.55103086745153,0.0
12.249777777777776,83.46525800972299,0.0
12.349333333333332,81.3794851519944,0.0
12.448888888888888,79.29371229426582,0.0
12.548444444444444,77.20793943653723,0.0
12.648,75.12216657880865,0.0
12.747555555555556,73.03639372108006,0.0
12.84711111111111,70.95062086335152,0.0
12.946666666666664,68.86484800562297,0.0
13.04622222222222,67.26014296055008,0.0
13.145777777777775,69.5194987332609,0.0
13.245333333333331,71.77885450597174,0.0
13.344888888888889,74.0382102786826,0.0
13.444444444444445,76.29756605139343,0.0
13.544,78.55692182410425,0.0
13.643555555555556,80.81627759681508,0.0
13.74311111111111,83.07563336952586,0.0
13.842666666666666,85.3349891422367,0.0
13.942222222222222,87.59434491494753,0.0
14.041777777777778,89.85370068765835,0.0
14.141333333333332,92.11305646036914,0.0
14.240888888888888,94.37241223307996,0.0
14.340444444444444,96.63176800579079,0.0
14.44,98.89112377850162,0.0
14.539555555555555,101.15047955121244,0.0
14.639111111111111,103.40983532392326,0.0
14.738666666666663,105.66919109663402,0.0
14.83822222222222,107.92854686934484,0.0
14.937777777777775,110.18790264205566,0.0
15.037333333333333,110.89066666666668,0.0
