E_keV,mu_over_rho_cm2_per_g,tauK_over_rho_cm2_per_g
1.0,4942.0,0.0
1.0995555555555556,4341.281777777777,0.0
1.199111111111111,3740.5635555555564,0.0
1.2986666666666666,3139.8453333333337,0.0
1.3982222222222225,2539.1271111111096,0.0
1.497777777777778,1938.4088888888868,0.0
1.5973333333333333,1737.0104000000001,0.0
1.696888888888889,1544.7287999999999,0.0
1.7964444444444445,1352.4471999999998,0.0
1.896,1160.1656000000003,0.0
1.9955555555555555,967.884,0.0
2.095111111111111,882.9112606262548,0.0
2.1946666666666665,802.9529539920544,0.0
2.2942222222222224,722.9946473578536,0.0
2.393777777777778,643.0363407236532,0.0
2.493333333333333,563.0780340894529,0.0
2.592888888888889,1813.230569187534,0.0
2.6924444444444444,1998.0236832903327,0.0
2.792,2093.842139542457,0.0
2.891555555555556,1970.686080132177,0.0
2.991111111111111,2007.695580338703,0.0
3.0906666666666665,1916.6432000000002,0.0
3.1902222222222223,1813.0357333333332,0.0
3.2897777777777777,1709.4282666666668,0.0
3.389333333333333,1605.8208000000002,0.0
3.488888888888889,1502.2133333333331,0.0
3.5884444444444443,1398.6058666666668,0.0
3.688,1294.9984,0.0
3.787555555555556,1191.3909333333327,0.0
3.887111111111111,1087.7834666666668,0.0
3.9866666666666655,984.1760000000013,0.0
4.086222222222222,933.6296888888888,0.0
4.185777777777778,891.288711111111,0.0
4.285333333333333,848.9477333333334,0.0
4.384888888888889,806.6067555555555,0.0
4.484444444444444,764.265777777778,0.0
4.584,721.9248000000001,0.0
4.683555555555556,679.5838222222219,0.0
4.783111111111111,637.2428444444444,0.0
4.882666666666666,594.9018666666668,0.0
4.982222222222222,552.5608888888889,0.0
5.081777777777778,528.0147555555556,0.0
5.181333333333333,507.3370666666668,0.0
5.280888888888889,486.6593777777778,0.0
5.380444444444445,465.98168888888887,0.0
5.48,445.3039999999999,0.0
5.579555555555555,424.62631111111114,0.0
5.679111111111111,403.9486222222222,0.0
5.778666666666666,383.27093333333346,0.0
5.878222222222222,362.5932444444445,0.0
5.977777777777778,341.91555555555556,0.0
6.077333333333333,330.30906666666675,0.0
6.176888888888889,321.30924444444446,0.0
6.2764444444444445,312.3094222222222,0.0
6.376,303.3096,0.0
6.475555555555555,294.3097777777778,0.0
6.575111111111111,285.3099555555556,0.0
6.674666666666666,276.3101333333334,0.0
6.774222222222222,267.31031111111116,0.0
6.873777777777778,258.3104888888889,0.0
6.973333333333333,249.31066666666675,0.0
7.072888888888889,240.31084444444448,0.0
7.172444444444444,231.31102222222222,0.0
7.271999999999999,222.31120000000004,0.0
7.371555555555555,213.3113777777778,0.0
7.471111111111111,204.31155555555557,0.0
7.570666666666666,195.3117333333334,0.0
7.670222222222222,186.31191111111116,0.0
7.769777777777778,177.3120888888889,0.0
7.869333333333333,168.31226666666674,0.0
7.968888888888888,159.31244444444457,0.0
8.068444444444445,154.07911999999996,0.0
8.168,150.55784000000003,0.0
8.267555555555555,147.03656,0.0
8.367111111111111,143.51528000000002,0.0
8.466666666666665,139.99400000000006,0.0
8.566222222222223,136.47271999999998,0.0
8.665777777777777,132.95144000000005,0.0
8.765333333333333,129.43016000000003,0.0
8.864888888888888,125.90888000000002,0.0
8.964444444444444,122.38760000000002,0.0
9.064,118.86632,0.0
9.163555555555556,115.34503999999998,0.0
9.26311111111111,111.82376000000005,0.0
9.362666666666666,108.30248000000003,0.0
9.462222222222222,104.78120000000003,0.0
9.561777777777776,101.25992000000008,0.0
9.661333333333332,97.73864000000006,0.0
9.76088888888889,94.21735999999999,0.0
9.860444444444443,90.69608000000005,0.0
9.96,87.17479999999998,0.0
10.059555555555557,85.07844622222221,0.0
10.15911111111111,83.93913244444445,0.0
10.258666666666668,82.79981866666665,0.0
10.358222222222222,81.6605048888889,0.0
10.457777777777777,80.52119111111114,0.0
10.557333333333332,79.38187733333335,0.0
10.656888888888888,78.24256355555556,0.0
10.756444444444444,77.10324977777779,0.0
10.856,75.963936,0.0
10.955555555555556,74.82462222222222,0.0
11.05511111111111,73.68530844444446,0.0
11.154666666666666,72.54599466666669,0.0
11.25422222222222,71.40668088888893,0.0
11.353777777777776,70.26736711111114,0.0
11.453333333333331,69.12805333333336,0.0
11.552888888888887,67.98873955555558,0.0
11.652444444444445,66.84942577777778,0.0
11.752,65.710112,0.0
11.851555555555557,64.57079822222221,0.0
11.95111111111111,63.43148444444445,0.0
12.050666666666666,62.29217066666668,0.0
12.150222222222222,61.15285688888889,0.0
12.249777777777776,60.01354311111113,0.0
12.349333333333332,58.874229333333346,0.0
12.448888888888888,57.734915555555574,0.0
12.548444444444444,56.59560177777779,0.0
12.648,55.45628800000001,0.0
12.747555555555556,54.31697422222223,0.0
12.84711111111111,53.17766044444446,0.0
12.946666666666664,52.038346666666705,0.0
13.04622222222222,50.899032888888925,0.0
13.145777777777775,49.75971911111114,0.0
13.245333333333331,48.62040533333336,0.0
13.344888888888889,47.48109155555556,0.0
13.444444444444445,46.34177777777778,0.0
13.544,45.202464,0.0
13.643555555555556,44.06315022222221,0.0
13.74311111111111,42.923836444444454,0.0
13.842666666666666,41.784522666666675,0.0
13.942222222222222,40.645208888888895,0.0
14.041777777777778,39.50589511111111,0.0
14.141333333333332,38.36658133333335,0.0
14.240888888888888,37.22726755555557,0.0
14.340444444444444,36.08795377777779,0.0
14.44,34.948640000000005,0.0
14.539555555555555,33.809326222222225,0.0
14.639111111111111,32.670012444444446,0.0
14.738666666666663,31.5306986666667,0.0
14.83822222222222,30.391384888888922,0.0
